colony_id,Light_Value,Run,Treatment,micromol.cm2.s,micromol.cm2.h,Date
AST-1037,0,9,Ambient,-2.24E-05,-0.080739695,4/1/21
AST-1037,320,9,Ambient,1.09E-05,0.039062413,4/1/21
AST-1058,0,6,Ambient,-3.75E-06,-0.013502817,3/4/21
AST-1058,368,6,Ambient,5.62E-05,0.202483816,3/4/21
AST-1075,0,13,Heat,-1.03E-05,-0.036909772,4/29/21
AST-1075,337,13,Heat,3.41E-05,0.122915656,4/29/21
AST-1077,0,15,Ambient,-2.75E-05,-0.09897622,4/29/21
AST-1077,337,15,Ambient,-1.28E-06,-0.00462372,4/29/21
AST-1080,0,14,Heat,-0.00012612,-0.454030203,4/29/21
AST-1080,337,14,Heat,-0.000182959,-0.658652766,4/29/21
AST-1109,0,17,Ambient,2.01E-05,0.072437029,5/27/21
AST-1109,355,17,Ambient,0.000312858,1.126289652,5/27/21
AST-1126,0,16,Ambient,4.19E-05,0.150795243,4/29/21
AST-1126,337,16,Ambient,0.000264012,0.950442967,4/29/21
AST-1138,0,5,Ambient,-5.92E-05,-0.213024453,3/4/21
AST-1138,368,5,Ambient,5.40E-05,0.194384141,3/4/21
AST-1146,0,8,Heat,2.18E-05,0.078569693,3/4/21
AST-1146,368,8,Heat,8.30E-05,0.298669837,3/4/21
AST-1147,0,3,Acclimatization,-8.74E-06,-0.031480867,2/4/21
AST-1147,350,3,Acclimatization,5.67E-05,0.204155656,2/4/21
AST-1148,0,13,Heat,-1.35E-05,-0.048727817,4/29/21
AST-1148,337,13,Heat,7.40E-05,0.266510214,4/29/21
AST-1152,0,20,Heat,6.42E-05,0.231135711,5/27/21
AST-1152,355,20,Heat,-5.71E-05,-0.205602901,5/27/21
AST-1174,0,18,Ambient,-8.05E-05,-0.289712915,5/27/21
AST-1174,355,18,Ambient,-3.41E-05,-0.122935638,5/27/21
AST-1182,0,10,Ambient,-2.72E-05,-0.097800903,4/1/21
AST-1182,320,10,Ambient,-1.76E-05,-0.063447463,4/1/21
