"","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","mRNA"
"1","GO:0055096","low-density lipoprotein particle mediated signaling",1,1,0,0.00023,"Biological Processes","evm.TU.chromosome_6.1548"
"2","GO:0034197","triglyceride transport",3,1,0,7e-04,"Biological Processes","evm.TU.chromosome_6.1548"
"3","GO:0035634","response to stilbenoid",3,1,0,7e-04,"Biological Processes","evm.TU.chromosome_6.1548"
"4","GO:0030299","intestinal cholesterol absorption",3,1,0,7e-04,"Biological Processes","evm.TU.chromosome_6.1548"
"5","GO:0060100","positive regulation of phagocytosis, engulfment",4,1,0,0.00093,"Biological Processes","evm.TU.chromosome_6.1548"
"6","GO:0060907","positive regulation of macrophage cytokine producti...",4,1,0,0.00093,"Biological Processes","evm.TU.chromosome_6.1548"
"7","GO:0140052","cellular response to oxidised low-density lipoprote...",4,1,0,0.00093,"Biological Processes","evm.TU.chromosome_6.1548"
"8","GO:0071447","cellular response to hydroperoxide",5,1,0,0.00116,"Biological Processes","evm.TU.chromosome_6.1548"
"9","GO:2000121","regulation of removal of superoxide radicals",5,1,0,0.00116,"Biological Processes","evm.TU.chromosome_6.1548"
"10","GO:0070508","cholesterol import",5,1,0,0.00116,"Biological Processes","evm.TU.chromosome_6.1548"
"11","GO:0071223","cellular response to lipoteichoic acid",6,1,0,0.00139,"Biological Processes","evm.TU.chromosome_6.1548"
"12","GO:0010744","positive regulation of macrophage derived foam cell...",6,1,0,0.00139,"Biological Processes","evm.TU.chromosome_6.1548"
"13","GO:0070543","response to linoleic acid",6,1,0,0.00139,"Biological Processes","evm.TU.chromosome_6.1548"
"14","GO:2000334","positive regulation of blood microparticle formatio...",6,1,0,0.00139,"Biological Processes","evm.TU.chromosome_6.1548"
"15","GO:0010886","positive regulation of cholesterol storage",6,1,0,0.00139,"Biological Processes","evm.TU.chromosome_6.1548"
"16","GO:0030194","positive regulation of blood coagulation",7,1,0,0.00162,"Biological Processes","evm.TU.chromosome_6.1548"
"17","GO:0032735","positive regulation of interleukin-12 production",8,1,0,0.00185,"Biological Processes","evm.TU.chromosome_6.1548"
"18","GO:0044539","long-chain fatty acid import into cell",9,1,0,0.00209,"Biological Processes","evm.TU.chromosome_6.1548"
"19","GO:0034121","regulation of toll-like receptor signaling pathway",11,1,0,0.00255,"Biological Processes","evm.TU.chromosome_6.1548"
"20","GO:0007263","nitric oxide mediated signal transduction",12,1,0,0.00278,"Biological Processes","evm.TU.chromosome_6.1548"
"21","GO:1903428","positive regulation of reactive oxygen species bios...",13,1,0,0.00301,"Biological Processes","evm.TU.chromosome_6.1548"
"22","GO:1900227","positive regulation of NLRP3 inflammasome complex a...",13,1,0,0.00301,"Biological Processes","evm.TU.chromosome_6.1548"
"23","GO:0001893","maternal placenta development",13,1,0,0.00301,"Biological Processes","evm.TU.chromosome_6.1548"
"24","GO:0090208","positive regulation of triglyceride metabolic proce...",15,1,0,0.00348,"Biological Processes","evm.TU.chromosome_6.1548"
"25","GO:0019934","cGMP-mediated signaling",17,1,0,0.00394,"Biological Processes","evm.TU.chromosome_6.1548"
"26","GO:0071726","cellular response to diacyl bacterial lipopeptide",17,1,0,0.00394,"Biological Processes","evm.TU.chromosome_6.1548"
"27","GO:0060416","response to growth hormone",18,1,0,0.00417,"Biological Processes","evm.TU.chromosome_6.1548"
"28","GO:0001778","plasma membrane repair",18,1,0,0.00417,"Biological Processes","evm.TU.chromosome_12.1648"
"29","GO:0046416","D-amino acid metabolic process",20,1,0,0.00463,"Biological Processes","evm.TU.chromosome_4.1032"
"30","GO:0046416","D-amino acid metabolic process",20,1,0,0.00463,"Biological Processes","evm.TU.chromosome_4.1032"
"31","GO:0045429","positive regulation of nitric oxide biosynthetic pr...",22,1,0.01,0.00509,"Biological Processes","evm.TU.chromosome_6.1548"
"32","GO:0032760","positive regulation of tumor necrosis factor produc...",22,1,0.01,0.00509,"Biological Processes","evm.TU.chromosome_6.1548"
"33","GO:0014823","response to activity",23,1,0.01,0.00533,"Biological Processes","evm.TU.chromosome_6.1548"
"34","GO:0034383","low-density lipoprotein particle clearance",23,1,0.01,0.00533,"Biological Processes","evm.TU.chromosome_6.1548"
"35","GO:0042953","lipoprotein transport",24,1,0.01,0.00556,"Biological Processes","evm.TU.chromosome_6.1548"
"36","GO:1990000","amyloid fibril formation",24,1,0.01,0.00556,"Biological Processes","evm.TU.chromosome_6.1548"
"37","GO:0006910","phagocytosis, recognition",31,1,0.01,0.00717,"Biological Processes","evm.TU.chromosome_6.1548"
"38","GO:0001954","positive regulation of cell-matrix adhesion",32,1,0.01,0.0074,"Biological Processes","evm.TU.chromosome_6.1548"
"39","GO:0007520","myoblast fusion",32,1,0.01,0.0074,"Biological Processes","evm.TU.chromosome_12.1648"
"40","GO:0043277","apoptotic cell clearance",45,1,0.01,0.0104,"Biological Processes","evm.TU.chromosome_6.1548"
"41","GO:0001676","long-chain fatty acid metabolic process",55,1,0.01,0.0127,"Biological Processes","evm.TU.chromosome_6.1548"
"42","GO:0016525","negative regulation of angiogenesis",56,1,0.01,0.01293,"Biological Processes","evm.TU.chromosome_6.1548"
"43","GO:0050909","sensory perception of taste",61,1,0.01,0.01408,"Biological Processes","evm.TU.chromosome_6.1548"
"44","GO:0031623","receptor internalization",66,1,0.02,0.01523,"Biological Processes","evm.TU.chromosome_6.1548"
"45","GO:0071346","cellular response to type II interferon",77,1,0.02,0.01775,"Biological Processes","evm.TU.chromosome_14.193"
"46","GO:0042742","defense response to bacterium",193,2,0.04,0.01791,"Biological Processes","evm.TU.chromosome_14.193"
"47","GO:0071222","cellular response to lipopolysaccharide",81,1,0.02,0.01866,"Biological Processes","evm.TU.chromosome_6.1548"
"48","GO:0019395","fatty acid oxidation",85,1,0.02,0.01958,"Biological Processes","evm.TU.chromosome_6.1548"
"49","GO:0032355","response to estradiol",86,1,0.02,0.01981,"Biological Processes","evm.TU.chromosome_6.1548"
"50","GO:1904646","cellular response to amyloid-beta",90,1,0.02,0.02072,"Biological Processes","evm.TU.chromosome_6.1548"
"51","GO:0050830","defense response to Gram-positive bacterium",90,1,0.02,0.02072,"Biological Processes","evm.TU.chromosome_6.1548"
