"","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","mRNA"
"1","GO:0006824","cobalt ion transport",6,2,0,9.2e-06,"Biological Processes","evm.TU.chromosome_12.835"
"2","GO:0006824","cobalt ion transport",6,2,0,9.2e-06,"Biological Processes","evm.TU.chromosome_12.833"
"3","GO:0015889","cobalamin transport",13,2,0.01,4.8e-05,"Biological Processes","evm.TU.chromosome_12.835"
"4","GO:0015889","cobalamin transport",13,2,0.01,4.8e-05,"Biological Processes","evm.TU.chromosome_12.835"
"5","GO:0015889","cobalamin transport",13,2,0.01,4.8e-05,"Biological Processes","evm.TU.chromosome_12.833"
"6","GO:0015889","cobalamin transport",13,2,0.01,4.8e-05,"Biological Processes","evm.TU.chromosome_12.833"
"7","GO:0060855","venous endothelial cell migration involved in lymph...",1,1,0,0.00081,"Biological Processes","evm.TU.chromosome_7.857"
"8","GO:0060836","lymphatic endothelial cell differentiation",2,1,0,0.00162,"Biological Processes","evm.TU.chromosome_7.857"
"9","GO:0035474","selective angioblast sprouting",4,1,0,0.00324,"Biological Processes","evm.TU.chromosome_7.857"
"10","GO:2001150","positive regulation of dipeptide transmembrane tran...",7,1,0.01,0.00567,"Biological Processes","evm.TU.chromosome_11.903"
"11","GO:0001946","lymphangiogenesis",8,1,0.01,0.00648,"Biological Processes","evm.TU.chromosome_7.857"
"12","GO:0038166","angiotensin-activated signaling pathway",9,1,0.01,0.00729,"Biological Processes","evm.TU.chromosome_11.903"
"13","GO:0007219","Notch signaling pathway",183,2,0.15,0.00938,"Biological Processes","evm.TU.chromosome_14.5944"
"14","GO:0007219","Notch signaling pathway",183,2,0.15,0.00938,"Biological Processes","evm.TU.chromosome_14.5944"
"15","GO:0007219","Notch signaling pathway",183,2,0.15,0.00938,"Biological Processes","evm.TU.chromosome_14.7156"
"16","GO:0051939","gamma-aminobutyric acid import",12,1,0.01,0.0097,"Biological Processes","evm.TU.chromosome_12.2906"
"17","GO:0030878","thyroid gland development",14,1,0.01,0.01131,"Biological Processes","evm.TU.chromosome_14.5944"
"18","GO:0060841","venous blood vessel development",17,1,0.01,0.01372,"Biological Processes","evm.TU.chromosome_7.857"
"19","GO:0030947","regulation of vascular endothelial growth factor re...",18,1,0.01,0.01452,"Biological Processes","evm.TU.chromosome_7.857"
"20","GO:0032229","negative regulation of synaptic transmission, GABAe...",20,1,0.02,0.01612,"Biological Processes","evm.TU.chromosome_12.2906"
"21","GO:0010288","response to lead ion",21,1,0.02,0.01692,"Biological Processes","evm.TU.chromosome_12.2906"
"22","GO:0038084","vascular endothelial growth factor signaling pathwa...",23,1,0.02,0.01852,"Biological Processes","evm.TU.chromosome_7.857"
"23","GO:0009235","cobalamin metabolic process",23,1,0.02,0.01852,"Biological Processes","evm.TU.chromosome_12.835"
