"","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","mRNA"
"1","GO:0007017","microtubule-based process",566,4,0.79,0.00085,"Biological Processes","evm.TU.chromosome_7.1243"
"2","GO:0007017","microtubule-based process",566,4,0.79,0.00085,"Biological Processes","evm.TU.chromosome_7.1243"
"3","GO:0007017","microtubule-based process",566,4,0.79,0.00085,"Biological Processes","evm.TU.chromosome_9.2235"
"4","GO:0007017","microtubule-based process",566,4,0.79,0.00085,"Biological Processes","evm.TU.chromosome_9.2235"
"5","GO:0051878","lateral element assembly",1,1,0,0.00139,"Biological Processes","evm.TU.chromosome_12.3101"
"6","GO:0035092","sperm DNA condensation",1,1,0,0.00139,"Biological Processes","evm.TU.chromosome_12.3101"
"7","GO:0017055","negative regulation of RNA polymerase II transcript...",1,1,0,0.00139,"Biological Processes","evm.TU.chromosome_6.1006"
"8","GO:0000711","meiotic DNA repair synthesis",2,1,0,0.00278,"Biological Processes","evm.TU.chromosome_12.3101"
"9","GO:0008348","negative regulation of antimicrobial humoral respon...",2,1,0,0.00278,"Biological Processes","evm.TU.chromosome_6.1006"
"10","GO:0009231","riboflavin biosynthetic process",2,1,0,0.00278,"Biological Processes","evm.TU.chromosome_7.1323"
"11","GO:0031508","pericentric heterochromatin formation",3,1,0,0.00417,"Biological Processes","evm.TU.chromosome_4.1315"
"12","GO:0051026","chiasma assembly",3,1,0,0.00417,"Biological Processes","evm.TU.chromosome_12.3101"
"13","GO:0061000","negative regulation of dendritic spine development",4,1,0.01,0.00556,"Biological Processes","evm.TU.chromosome_3.624"
"14","GO:0006114","glycerol biosynthetic process",5,1,0.01,0.00694,"Biological Processes","evm.TU.chromosome_7.1323"
"15","GO:0006334","nucleosome assembly",100,2,0.14,0.00846,"Biological Processes","evm.TU.chromosome_3.370"
"16","GO:0006334","nucleosome assembly",100,2,0.14,0.00846,"Biological Processes","evm.TU.chromosome_13.358"
"17","GO:0006334","nucleosome assembly",100,2,0.14,0.00846,"Biological Processes","evm.TU.chromosome_13.358"
"18","GO:0048671","negative regulation of collateral sprouting",7,1,0.01,0.00971,"Biological Processes","evm.TU.chromosome_3.624"
"19","GO:0051712","positive regulation of killing of cells of another ...",8,1,0.01,0.01108,"Biological Processes","evm.TU.chromosome_8.2695"
"20","GO:0006346","DNA methylation-dependent heterochromatin formation",9,1,0.01,0.01246,"Biological Processes","evm.TU.chromosome_4.1315"
"21","GO:0098719","sodium ion import across plasma membrane",10,1,0.01,0.01384,"Biological Processes","evm.TU.chromosome_5.2273"
"22","GO:0007379","segment specification",10,1,0.01,0.01384,"Biological Processes","evm.TU.chromosome_6.1006"
"23","GO:0006268","DNA unwinding involved in DNA replication",10,1,0.01,0.01384,"Biological Processes","evm.TU.chromosome_6.1006"
"24","GO:0048240","sperm capacitation",13,1,0.02,0.01795,"Biological Processes","evm.TU.chromosome_12.906"
"25","GO:0051770","positive regulation of nitric-oxide synthase biosyn...",14,1,0.02,0.01932,"Biological Processes","evm.TU.chromosome_8.2695"
"26","GO:0048681","negative regulation of axon regeneration",15,1,0.02,0.02069,"Biological Processes","evm.TU.chromosome_3.624"
"27","GO:0051000","positive regulation of nitric-oxide synthase activi...",15,1,0.02,0.02069,"Biological Processes","evm.TU.chromosome_8.2695"
"28","GO:0090136","epithelial cell-cell adhesion",15,1,0.02,0.02069,"Biological Processes","evm.TU.chromosome_7.806"
"29","GO:0097374","sensory neuron axon guidance",17,1,0.02,0.02341,"Biological Processes","evm.TU.chromosome_3.1557"
"30","GO:0043248","proteasome assembly",18,1,0.03,0.02477,"Biological Processes","evm.TU.chromosome_3.1678"
"31","GO:0043248","proteasome assembly",18,1,0.03,0.02477,"Biological Processes","evm.TU.chromosome_3.1678"
"32","GO:0035036","sperm-egg recognition",19,1,0.03,0.02613,"Biological Processes","evm.TU.chromosome_12.906"
"33","GO:0002925","positive regulation of humoral immune response medi...",19,1,0.03,0.02613,"Biological Processes","evm.TU.chromosome_8.2695"
"34","GO:0007275","multicellular organism development",4631,8,6.45,0.03492,"Biological Processes","evm.TU.chromosome_4.1315"
"35","GO:0007275","multicellular organism development",4631,8,6.45,0.03492,"Biological Processes","evm.TU.chromosome_5.2273"
"36","GO:0007275","multicellular organism development",4631,8,6.45,0.03492,"Biological Processes","evm.TU.chromosome_12.906"
"37","GO:0030517","negative regulation of axon extension",26,1,0.04,0.0356,"Biological Processes","evm.TU.chromosome_3.624"
"38","GO:0032570","response to progesterone",26,1,0.04,0.0356,"Biological Processes","evm.TU.chromosome_12.906"
"39","GO:0031110","regulation of microtubule polymerization or depolym...",28,1,0.04,0.03828,"Biological Processes","evm.TU.chromosome_4.28"
"40","GO:0031110","regulation of microtubule polymerization or depolym...",28,1,0.04,0.03828,"Biological Processes","evm.TU.chromosome_4.28"
"41","GO:0035335","peptidyl-tyrosine dephosphorylation",28,1,0.04,0.03828,"Biological Processes","evm.TU.chromosome_3.624"
"42","GO:0035218","leg disc development",30,1,0.04,0.04096,"Biological Processes","evm.TU.chromosome_6.1006"
"43","GO:0090073","positive regulation of protein homodimerization act...",35,1,0.05,0.04763,"Biological Processes","evm.TU.chromosome_11.2667"
"44","GO:0000802","transverse filament",1,1,0,0.0015,"Cellular Components","evm.TU.chromosome_12.3101"
"45","GO:0000801","central element",2,1,0,0.003,"Cellular Components","evm.TU.chromosome_12.3101"
"46","GO:0000786","nucleosome",104,2,0.15,0.0103,"Cellular Components","evm.TU.chromosome_3.370"
"47","GO:0000786","nucleosome",104,2,0.15,0.0103,"Cellular Components","evm.TU.chromosome_3.370"
"48","GO:0000786","nucleosome",104,2,0.15,0.0103,"Cellular Components","evm.TU.chromosome_13.358"
"49","GO:0000786","nucleosome",104,2,0.15,0.0103,"Cellular Components","evm.TU.chromosome_13.358"
"50","GO:0005721","pericentric heterochromatin",9,1,0.01,0.0132,"Cellular Components","evm.TU.chromosome_4.1315"
"51","GO:0001673","male germ cell nucleus",9,1,0.01,0.0132,"Cellular Components","evm.TU.chromosome_12.3101"
"52","GO:0036128","CatSper complex",18,1,0.03,0.0263,"Cellular Components","evm.TU.chromosome_12.906"
