"","mRNA","GO","Term","Annotated","Significant","Expected","Fisher","ontology","sig.prop"
"1","evm.TU.chromosome_1.1449","GO:0006555","methionine metabolic process",37,2,0.26,0.0281,"Biological Processes",0.0540540540540541
"2","evm.TU.chromosome_1.1447","GO:0006555","methionine metabolic process",37,2,0.26,0.0281,"Biological Processes",0.0540540540540541
"3","evm.TU.chromosome_1.1621","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"4","evm.TU.chromosome_1.676","GO:0000387","spliceosomal snRNP assembly",35,3,0.25,0.0114,"Biological Processes",0.0857142857142857
"5","evm.TU.chromosome_1.360","GO:0006094","gluconeogenesis",37,3,0.26,0.0096,"Biological Processes",0.0810810810810811
"6","evm.TU.chromosome_1.363","GO:0051092","positive regulation of NF-kappaB transcription fact...",104,3,0.74,0.0384,"Biological Processes",0.0288461538461538
"7","evm.TU.chromosome_1.965","GO:1902894","negative regulation of miRNA transcription",4,1,0.03,0.0282,"Biological Processes",0.25
"8","evm.TU.chromosome_1.1046","GO:2000323","negative regulation of glucocorticoid receptor sign...",4,1,0.03,0.0282,"Biological Processes",0.25
"9","evm.TU.chromosome_1.1864","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"10","evm.TU.chromosome_1.201","GO:0006515","protein quality control for misfolded or incomplete...",14,2,0.1,0.0043,"Biological Processes",0.142857142857143
"11","evm.TU.chromosome_1.1908","GO:0006625","protein targeting to peroxisome",4,1,0.03,0.0282,"Biological Processes",0.25
"12","evm.TU.chromosome_1.1472","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"13","evm.TU.chromosome_1.1098","GO:0007017","microtubule-based process",566,7,4.04,0.0226,"Biological Processes",0.0123674911660777
"14","evm.TU.chromosome_1.1098","GO:0007283","spermatogenesis",245,8,1.75,0.0021,"Biological Processes",0.0326530612244898
"15","evm.TU.chromosome_1.1098","GO:0007017","microtubule-based process",566,7,4.04,0.0226,"Biological Processes",0.0123674911660777
"16","evm.TU.chromosome_1.653","GO:0000387","spliceosomal snRNP assembly",35,3,0.25,0.0114,"Biological Processes",0.0857142857142857
"17","evm.TU.chromosome_1.942","GO:0045892","negative regulation of DNA-templated transcription",550,7,3.92,0.0358,"Biological Processes",0.0127272727272727
"18","evm.TU.chromosome_1.1024","GO:1901741","positive regulation of myoblast fusion",2,1,0.01,0.0142,"Biological Processes",0.5
