"","X","miRNA","mRNA","PCC.cor","p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","AST.1065","AST.1147","AST.1412","AST.1560","AST.1567","AST.1617","AST.1722","AST.2000","AST.2007","AST.2302","AST.2360","AST.2398","AST.2404","AST.2412","AST.2512","AST.2523","AST.2563","AST.2729","AST.2755","DEG"
"1",35,"Cluster_3406","evm.TU.chromosome_5.974",0.15092524009711,0.537396164983631,146,-22.03,"2 11","953 974",9,"88.89%","100.00%",4537,1602,5046,346,556,5325,1359,397,2825,7714,1039,1732,1968,1404,557,4516,2456,690,468,"Y"
"2",103,"Cluster_2003","evm.TU.chromosome_13.1876",0.524244827668993,0.0212150639785613,151,-22.39,"2 21","274 296",20,"65.00%","75.00%",3202,1878,914,155,379,1728,931,532,1998,1979,1102,1156,2484,1838,518,2286,1402,155,141,"Y"
"3",154,"Cluster_137","evm.TU.chromosome_1.96",0.456935233652268,0.0492089504153769,145,-20.53,"2 10","85 106",8,"100.00%","100.00%",101,662,58,6,109,208,378,76,99,266,175,433,95,135,8,146,187,0,0,"Y"
"4",180,"Cluster_3293","evm.TU.chromosome_7.1248",0.02043940037221,0.933809417485062,166,-23.47,"2 19","926 946",17,"76.47%","88.24%",50,180,52,0,103,104,165,58,66,71,68,152,70,103,22,55,40,0,0,"Y"
"5",188,"Cluster_4696","evm.TU.chromosome_11.3020",0.201722998665157,0.407579648725993,153,-20.01,"2 20","860 880",18,"72.22%","77.78%",65,111,50,0,11,157,67,101,204,60,89,27,98,42,8,28,66,34,14,"Y"
"6",214,"Cluster_1452","evm.TU.chromosome_5.2690",-0.0870098867727542,0.72319497120793,150,-20.51,"2 21","393 416",21,"66.67%","76.19%",55,390,56,0,213,140,290,24,40,40,47,209,57,24,16,81,82,13,0,"Y"
"7",222,"Cluster_998","evm.TU.chromosome_12.2655",-0.511226169706953,0.0252813171692907,160,-21.59,"2 20","772 790",18,"77.78%","83.33%",357,343,862,124,58,785,319,201,613,262,533,262,477,540,45,616,510,76,59,"Y"
"8",223,"Cluster_4044","evm.TU.chromosome_12.2655",-0.209019960543031,0.390457625511374,162,-22.71,"2 21","867 887",19,"73.68%","84.21%",357,343,862,124,58,785,319,201,613,262,533,262,477,540,45,616,510,76,59,"Y"
"9",234,"Cluster_3037","evm.TU.chromosome_11.1959",0.384917571429809,0.103667591049026,149,-20.12,"2 20","373 396",21,"66.67%","76.19%",3,5,0,0,0,31,0,42,23,16,9,0,43,31,0,5,40,0,0,"Y"
"10",243,"Cluster_3331","evm.TU.chromosome_8.1135",0.265578548023863,0.27180146886613,160,-21.05,"2 21","718 739",19,"68.42%","78.95%",37,28,0,0,14,0,18,0,13,10,0,48,15,14,0,4,9,0,0,"Y"
"11",244,"Cluster_3337","evm.TU.chromosome_8.1135",-0.455788508540103,0.0498539894397888,160,-21.05,"2 21","718 739",19,"68.42%","78.95%",37,28,0,0,14,0,18,0,13,10,0,48,15,14,0,4,9,0,0,"Y"
"12",245,"Cluster_3338","evm.TU.chromosome_8.1135",-0.462163188560386,0.0463484079512881,160,-21.05,"2 21","718 739",19,"68.42%","78.95%",37,28,0,0,14,0,18,0,13,10,0,48,15,14,0,4,9,0,0,"Y"
