"","miRNA","mRNA","PCC.cor_tp0","p_value_tp0","PCC.cor_tp5_amb","p_value_tp5_amb","sign_switch","PCC_change","abs_PCC_change","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Swiss.Prot_Hit","SP_E.value","Swiss.Prot_Description","Trembl_Hit","TB_E.value","Trembl_Description","NCBI_hit","nr_E.value","NCBI_Description","GO_Swiss.Prot","GO_Trembl","miRNA_repression_inferred"
"1","Cluster_1192","evm.TU.chromosome_7.299",-0.987873405086607,0.0121265949133926,0.971987568848784,0.0280124311512158,TRUE,1.95986097393539,1.95986097393539,773.22893463277,1.15876863828236,0.358443356360562,3.23278034791289,0.00122591782866675,0.0495618534836921,"sp|B0R0T1|VWA8_DANRE",0,"von Willebrand factor A domain-containing protein 8 OS=Danio rerio GN=si:dkey-18l1.1 PE=3 SV=1","tr|A0A2B4T033|A0A2B4T033_STYPI",0,"von Willebrand factor A domain-containing protein 8 OS=Stylophora pistillata GN=AWC38_SpisGene1071 PE=4 SV=1","ref|XP_020602600.1|",0,"von Willebrand factor A domain-containing protein 8-like [Orbicella faveolata]","GO:0005739; GO:0005524; GO:0016887","GO:0005524; GO:0016887","High mRNA expression at TP0, regardless of correlation"
"2","Cluster_137","evm.TU.chromosome_7.266",0.993697647168795,0.00630235283120485,-0.398605464595212,0.601394535404788,TRUE,-1.39230311176401,1.39230311176401,219.708537183209,-3.74012845905199,0.937203249781286,-3.99073355744853,6.58692469727514e-05,0.00666745917281918,"sp|Q9UI40|NCKX2_HUMAN",2.76e-78,"Sodium/potassium/calcium exchanger 2 OS=Homo sapiens GN=SLC24A2 PE=1 SV=1","tr|A0A2B4SZC2|A0A2B4SZC2_STYPI",0,"Sodium/potassium/calcium exchanger 4 OS=Stylophora pistillata GN=SLC24A4 PE=4 SV=1","ref|XP_020602702.1|",0,"sodium/potassium/calcium exchanger 3-like isoform X2 [Orbicella faveolata]","GO:0005887; GO:0005886; GO:0046870; GO:0005262; GO:0005509; GO:0008273; GO:0030145; GO:0016151; GO:0030955; GO:0046983; GO:0031402; GO:0015293; GO:0006874; GO:0034220; GO:0006811; GO:0007612; GO:0060292; GO:0060291; GO:0007613; GO:0050896; GO:0007601","GO:0016021; GO:0055085","High mRNA expression at TP5 ambient, regardless of correlation"
"3","Cluster_1453","evm.TU.chromosome_12.2154",-0.737710960523319,0.262289039476681,0.952211616548451,0.0477883834515489,TRUE,1.68992257707177,1.68992257707177,869.608921568267,-1.95377706128351,0.575749293086621,-3.39345108147543,0.000690178843615416,0.0335995595301995,"sp|O13024|INCEA_XENLA",1.32e-46,"Inner centromere protein A OS=Xenopus laevis GN=incenp-a PE=1 SV=1","tr|A0A2B4S851|A0A2B4S851_STYPI",0,"Inner centromere protein OS=Stylophora pistillata GN=INCENP PE=4 SV=1","ref|XP_020606102.1|",0,"inner centromere protein-like [Orbicella faveolata]","GO:0005694; GO:0032133; GO:0000775; GO:0000777; GO:0005737; GO:0005874; GO:0030496; GO:0005634; GO:0005721; GO:0005819; GO:0019901; GO:0007059; GO:0000910; GO:0051225","","miRNA repression of mRNA at TP0"
"4","Cluster_1453","evm.TU.chromosome_2.2078",0.965008697629136,0.0349913023708642,-0.853322322354113,0.146677677645887,TRUE,-1.81833101998325,1.81833101998325,67.6741775368818,-3.02967863324233,0.674377630483714,-4.49255505564326,7.03737172060689e-06,0.00112363368472357,"sp|Q505D1|ANR28_MOUSE",1.07e-108,"Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Mus musculus GN=Ankrd28 PE=1 SV=1","tr|A0A182H2I6|A0A182H2I6_AEDAL",1.5e-147,"Uncharacterized protein OS=Aedes albopictus PE=4 SV=1","ref|XP_020628419.1|",0,"serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like [Orbicella faveolata]","GO:0005654","","High mRNA expression at TP5 ambient, regardless of correlation"
"5","Cluster_1453","evm.TU.chromosome_5.377",0.976421879580423,0.0235781204195768,-0.424993522752201,0.575006477247799,TRUE,-1.40141540233262,1.40141540233262,1303.00787090716,1.82021146160624,0.531704746206239,3.42335003513437,0.000618543710043135,0.0314117418863487,"sp|Q86WI1|PKHL1_HUMAN",0,"Fibrocystin-L OS=Homo sapiens GN=PKHD1L1 PE=2 SV=2","tr|A0A2B4S3M0|A0A2B4S3M0_STYPI",0,"Fibrocystin-L OS=Stylophora pistillata GN=Pkhd1l1 PE=4 SV=1","ref|XP_020613303.1|",0,"fibrocystin-L-like [Orbicella faveolata]","GO:0005929; GO:0005829; GO:0005615; GO:0016021; GO:0004872; GO:0006955","GO:0016021; GO:0005886; GO:0005509; GO:0007156; GO:0000272","miRNA repression of mRNA at TP5 ambient"
"6","Cluster_1453","evm.TU.chromosome_5.505",0.996793293421065,0.00320670657893462,-0.766765158433889,0.233234841566111,TRUE,-1.76355845185495,1.76355845185495,585.11380080197,1.52253413235289,0.456198927352083,3.33743470461481,0.000845555868043794,0.038573453408855,"sp|Q7Z442|PK1L2_HUMAN",6.07e-105,"Polycystic kidney disease protein 1-like 2 OS=Homo sapiens GN=PKD1L2 PE=1 SV=4","tr|A0A2B4STF0|A0A2B4STF0_STYPI",0,"Polycystic kidney disease protein 1-like 2 OS=Stylophora pistillata GN=Pkd1l2 PE=4 SV=1","ref|XP_022780302.1|",0,"LOW QUALITY PROTEIN: polycystic kidney disease protein 1-like 2 [Stylophora pistillata]","GO:0016021; GO:0016020; GO:0005262; GO:0005509; GO:0030246; GO:0050982","GO:0016021; GO:0005509","miRNA repression of mRNA at TP5 ambient"
"7","Cluster_1483","evm.TU.chromosome_12.687",-0.96484548936045,0.0351545106395498,0.78506475105201,0.21493524894799,TRUE,1.74991024041246,1.74991024041246,94.6138875234874,-3.69562641622679,0.984142951058885,-3.75517236825249,0.000173222223638937,0.0130154423722433,"sp|Q4LDE5|SVEP1_HUMAN",8.12e-09,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3","tr|A7S0A0|A7S0A0_NEMVE",0,"Predicted protein OS=Nematostella vectensis GN=v1g204809 PE=4 SV=1","ref|XP_020621592.1|",0,"uncharacterized protein LOC110059232 [Orbicella faveolata]","GO:0005737; GO:0005615; GO:0016020; GO:0005509; GO:0003682; GO:0007155","","miRNA repression of mRNA at TP0"
"8","Cluster_2097","evm.TU.chromosome_9.1392",0.317655544162446,0.682344455837554,-0.959713120737582,0.0402868792624177,TRUE,-1.27736866490003,1.27736866490003,256.619078397517,-1.81245497261111,0.460120795017812,-3.93908511033706,8.17929131809484e-05,0.00759174084140402,NA,NA,NA,NA,NA,NA,"ref|XP_020617536.1|",2.87e-73,"uncharacterized protein LOC110055483 [Orbicella faveolata]",NA,NA,"High mRNA expression at TP5 ambient, regardless of correlation"
"9","Cluster_3293","evm.TU.chromosome_13.228",-0.962456309086514,0.0375436909134858,0.347060697123057,0.652939302876943,TRUE,1.30951700620957,1.30951700620957,234.724527611587,-2.02159825993656,0.39455236908223,-5.12377676159697,2.99475529135445e-07,8.93139288686411e-05,"sp|Q32LQ4|BHMT1_DANRE",0,"Betaine--homocysteine S-methyltransferase 1 OS=Danio rerio GN=bhmt PE=2 SV=1","tr|A0A2B4T2J2|A0A2B4T2J2_STYPI",0,"Betaine--homocysteine S-methyltransferase 1 OS=Stylophora pistillata GN=bhmt PE=4 SV=1","gb|PFX34877.1|",0,"betaine--homocysteine S-methyltransferase 1-like [Stylophora pistillata]","GO:0005737; GO:0047150; GO:0008270; GO:0006579; GO:0055123; GO:0009086; GO:0003323","GO:0005737; GO:0047150; GO:0008270; GO:0009086","miRNA repression of mRNA at TP0"
"10","Cluster_4044","evm.TU.chromosome_12.1356",-0.994289308336104,0.00571069166389583,0.98909980677356,0.0109001932264397,TRUE,1.98338911510966,1.98338911510966,75.9002417080346,-3.98689557013904,1.12719158987652,-3.5370167821921,0.000404673951197029,0.0234448683950521,"sp|P06683|CO9_MOUSE",4.67e-07,"Complement component C9 OS=Mus musculus GN=C9 PE=1 SV=2","tr|A0A2B4SJW2|A0A2B4SJW2_STYPI",0,"Neuronal pentraxin-2 OS=Stylophora pistillata GN=NPTX2 PE=4 SV=1","ref|XP_020623828.1|",0,"uncharacterized protein LOC110061329 [Orbicella faveolata]","GO:0005829; GO:0005615; GO:0005579; GO:0044218; GO:0005886; GO:0001906; GO:0006957; GO:0006958; GO:0019835; GO:0051260","","miRNA repression of mRNA at TP0"
