"","X","mirna_FC","mrna_FC","mirna","mrna","value","score","energy","subj_identity","query_identity","pvalue","comparison","pattern"
"1","chromosome_14_688567",3.29279731403218,-5.38891859152479,"chromosome_14_688567","evm.TU.chromosome_12.1878",8.68171590555697,151,-13.35,"91.67%","91.67%",0.03903,"TP0_v_TP7_amb","negative regulation"
"2","chromosome_5_173097",4.61670653493775,-5.01447023790031,"chromosome_5_173097","evm.TU.chromosome_8.2226",9.63117677283806,160,-15.82,"82.35%","82.35%",0.02011,"TP0_v_TP7_amb","negative regulation"
"3","chromosome_4_135958",-2.60602252547484,6.15459172445263,"chromosome_4_135958","evm.TU.chromosome_10.3111",8.76061424992747,151,-12.59,"66.67%","72.22%",0.0367499999999999,"TP0_v_TP7_amb","inverse regulation"
"4","chromosome_5_173097.1",4.61670653493775,-3.58572652045954,"chromosome_5_173097","evm.TU.chromosome_9.1668",8.20243305539729,146,-14.11,"73.33%","80.00%",0.04998,"TP0_v_TP7_amb","negative regulation"
"5","chromosome_6_209591",-1.99184328656089,6.31882634946492,"chromosome_6_209591","evm.TU.chromosome_12.122",8.31066963602581,143,-18.62,"68.42%","73.68%",0.04837,"TP0_v_TP7_amb","inverse regulation"
"6","chromosome_7_251368",2.24494682999106,-6.44635867212787,"chromosome_7_251368","evm.TU.chromosome_5.1197",8.69130550211893,140,-13.61,"100.00%","100.00%",0.03867,"TP0_v_TP7_amb","negative regulation"
"7","chromosome_7_251368.1",2.24494682999106,-6.73058552004313,"chromosome_7_251368","evm.TU.chromosome_9.700",8.97553235003419,155,-22.62,"100.00%","100.00%",0.03282,"TP0_v_TP7_amb","negative regulation"
"8","chromosome_11_419903",2.20775375250569,-6.35006546334023,"chromosome_11_419903","evm.TU.chromosome_12.690",8.55781921584592,155,-15.27,"78.57%","85.71%",0.04192,"TP0_v_TP7_amb","negative regulation"
"9","chromosome_14_688567.1",3.29279731403218,-7.63427255243706,"chromosome_14_688567","evm.TU.chromosome_6.1512",10.9270698664692,151,-12.46,"65.00%","75.00%",0.00907000000000002,"TP0_v_TP7_amb","negative regulation"
"10","chromosome_14_688567.2",3.29279731403218,-8.41376214114502,"chromosome_14_688567","evm.TU.chromosome_12.2852",11.7065594551772,144,-12.1,"81.82%","81.82%",0.00544,"TP0_v_TP7_amb","negative regulation"
"11","chromosome_4_131850.2",-2.00521570133694,6.39428354157624,"chromosome_4_131850","evm.TU.chromosome_11.2803",8.39949924291318,148,-13.57,"64.71%","82.35%",0.04644,"TP0_v_TP7_amb","inverse regulation"
"12","chromosome_4_131836.2",-2.00521570133694,6.39428354157624,"chromosome_4_131836","evm.TU.chromosome_11.2803",8.39949924291318,148,-13.57,"64.71%","82.35%",0.04644,"TP0_v_TP7_amb","inverse regulation"
"13","chromosome_4_131810.2",-2.00521570133694,6.39428354157624,"chromosome_4_131810","evm.TU.chromosome_11.2803",8.39949924291318,148,-13.57,"64.71%","82.35%",0.04644,"TP0_v_TP7_amb","inverse regulation"
"14","chromosome_4_131796.2",-2.00521570133694,6.39428354157624,"chromosome_4_131796","evm.TU.chromosome_11.2803",8.39949924291318,148,-13.57,"64.71%","82.35%",0.04644,"TP0_v_TP7_amb","inverse regulation"
"15","chromosome_4_131847.2",-2.00284823762422,6.39428354157624,"chromosome_4_131847","evm.TU.chromosome_11.2803",8.39713177920046,148,-13.57,"64.71%","82.35%",0.04673,"TP0_v_TP7_amb","inverse regulation"
"16","chromosome_4_131807.2",-2.00284823762422,6.39428354157624,"chromosome_4_131807","evm.TU.chromosome_11.2803",8.39713177920046,148,-13.57,"64.71%","82.35%",0.04673,"TP0_v_TP7_amb","inverse regulation"
"17","chromosome_6_209591.1",-1.99184328656089,6.39428354157624,"chromosome_6_209591","evm.TU.chromosome_11.2803",8.38612682813713,141,-15.31,"87.50%","100.00%",0.04711,"TP0_v_TP7_amb","inverse regulation"
"18","chromosome_6_209591.2",-1.99184328656089,6.39428354157624,"chromosome_6_209591","evm.TU.chromosome_11.2803",8.38612682813713,160,-18.26,"78.95%","84.21%",0.04711,"TP0_v_TP7_amb","inverse regulation"
"19","chromosome_7_251368.2",2.24494682999106,-6.34109169565761,"chromosome_7_251368","evm.TU.chromosome_14.6207",8.58603852564867,152,-17.55,"63.16%","73.68%",0.0415,"TP0_v_TP7_amb","negative regulation"
"20","chromosome_4_131850.3",-2.00521570133694,7.0662425614348,"chromosome_4_131850","evm.TU.chromosome_10.3085",9.07145826277174,147,-14.49,"90.00%","90.00%",0.02932,"TP0_v_TP7_amb","inverse regulation"
"21","chromosome_4_131836.3",-2.00521570133694,7.0662425614348,"chromosome_4_131836","evm.TU.chromosome_10.3085",9.07145826277174,147,-14.49,"90.00%","90.00%",0.02932,"TP0_v_TP7_amb","inverse regulation"
"22","chromosome_4_131810.3",-2.00521570133694,7.0662425614348,"chromosome_4_131810","evm.TU.chromosome_10.3085",9.07145826277174,147,-14.49,"90.00%","90.00%",0.02932,"TP0_v_TP7_amb","inverse regulation"
"23","chromosome_4_131796.3",-2.00521570133694,7.0662425614348,"chromosome_4_131796","evm.TU.chromosome_10.3085",9.07145826277174,147,-14.49,"90.00%","90.00%",0.02932,"TP0_v_TP7_amb","inverse regulation"
"24","chromosome_4_131847.3",-2.00284823762422,7.0662425614348,"chromosome_4_131847","evm.TU.chromosome_10.3085",9.06909079905902,147,-14.49,"90.00%","90.00%",0.02972,"TP0_v_TP7_amb","inverse regulation"
"25","chromosome_4_131807.3",-2.00284823762422,7.0662425614348,"chromosome_4_131807","evm.TU.chromosome_10.3085",9.06909079905902,147,-14.49,"90.00%","90.00%",0.02972,"TP0_v_TP7_amb","inverse regulation"
"26","chromosome_14_688567.3",3.29279731403218,-6.72211963770833,"chromosome_14_688567","evm.TU.chromosome_13.2897",10.0149169517405,157,-13.4,"75.00%","80.00%",0.01536,"TP0_v_TP7_amb","negative regulation"
"27","chromosome_5_173097.2",4.61670653493775,-5.10752375124181,"chromosome_5_173097","evm.TU.chromosome_1.997",9.72423028617956,145,-25.09,"100.00%","100.00%",0.01874,"TP0_v_TP7_amb","negative regulation"
"28","chromosome_5_147390",2.68661788002582,-6.50514334728967,"chromosome_5_147390","evm.TU.chromosome_4.1816",9.19176122731549,148,-10.17,"70.59%","76.47%",0.0255300000000001,"TP0_v_TP7_amb","negative regulation"
"29","chromosome_5_147456",2.68661788002582,-6.50514334728967,"chromosome_5_147456","evm.TU.chromosome_4.1816",9.19176122731549,148,-10.17,"70.59%","76.47%",0.0255300000000001,"TP0_v_TP7_amb","negative regulation"
"30","chromosome_11_419903.1",2.20775375250569,-6.50514334728967,"chromosome_11_419903","evm.TU.chromosome_4.1816",8.71289709979536,157,-12.58,"72.73%","77.27%",0.0381899999999999,"TP0_v_TP7_amb","negative regulation"
"31","chromosome_9_343049.1",-1.90153146876983,-11.0654193262955,"chromosome_9_343049","evm.TU.chromosome_6.1434",9.16388785752567,142,-11.59,"63.64%","68.18%",0.02615,"TP0_v_TP7_amb","coregulation decrease"
"32","chromosome_9_343055.1",-1.90153146876983,-11.0654193262955,"chromosome_9_343055","evm.TU.chromosome_6.1434",9.16388785752567,142,-11.59,"63.64%","68.18%",0.02615,"TP0_v_TP7_amb","coregulation decrease"
"33","chromosome_5_155769",-2.26845651222468,-11.0654193262955,"chromosome_5_155769","evm.TU.chromosome_6.1434",8.79696281407082,148,-11.71,"78.57%","85.71%",0.03617,"TP0_v_TP7_amb","coregulation decrease"
"34","chromosome_4_135958.1",-2.60602252547484,-11.0654193262955,"chromosome_4_135958","evm.TU.chromosome_6.1434",8.45939680082066,148,-13.15,"63.16%","78.95%",0.0434,"TP0_v_TP7_amb","coregulation decrease"
"35","chromosome_5_173097.4",4.61670653493775,-3.68857402860883,"chromosome_5_173097","evm.TU.chromosome_4.902",8.30528056354658,150,-13.05,"64.71%","76.47%",0.0490699999999999,"TP0_v_TP7_amb","negative regulation"
"36","chromosome_4_131850.4",-2.00521570133694,6.82115469868798,"chromosome_4_131850","evm.TU.chromosome_3.1666",8.82637040002492,146,-14.73,"90.91%","90.91%",0.03554,"TP0_v_TP7_amb","inverse regulation"
"37","chromosome_4_131836.4",-2.00521570133694,6.82115469868798,"chromosome_4_131836","evm.TU.chromosome_3.1666",8.82637040002492,146,-14.73,"90.91%","90.91%",0.03554,"TP0_v_TP7_amb","inverse regulation"
