"","mirna_FC","mrna_FC","mirna","mrna","value","score","energy","subj_identity","query_identity","pvalue"
"chromosome_5_147390.1",2.23630054361165,-6.16674719502686,"chromosome_5_147390","evm.TU.chromosome_4.1816",8.81731203930392,148,-10.17,"70.59%","76.47%",0.01087
"chromosome_5_147456.1",2.23630054361165,-6.16674719502686,"chromosome_5_147456","evm.TU.chromosome_4.1816",8.81731203930392,148,-10.17,"70.59%","76.47%",0.01087
"chromosome_4_131850.2",-2.16084546716962,-8.10309817288256,"chromosome_4_131850","evm.TU.chromosome_13.1842",8.16206194821424,140,-14.71,"100.00%","100.00%",0.02021
"chromosome_4_131850.3",-2.16084546716962,-8.10309817288256,"chromosome_4_131850","evm.TU.chromosome_13.1842",8.16206194821424,148,-16.65,"81.82%","90.91%",0.02021
"chromosome_4_131836.2",-2.16084546716962,-8.10309817288256,"chromosome_4_131836","evm.TU.chromosome_13.1842",8.16206194821424,140,-14.71,"100.00%","100.00%",0.02021
"chromosome_4_131836.3",-2.16084546716962,-8.10309817288256,"chromosome_4_131836","evm.TU.chromosome_13.1842",8.16206194821424,148,-16.65,"81.82%","90.91%",0.02021
"chromosome_4_131810.2",-2.16084546716962,-8.10309817288256,"chromosome_4_131810","evm.TU.chromosome_13.1842",8.16206194821424,140,-14.71,"100.00%","100.00%",0.02021
"chromosome_4_131810.3",-2.16084546716962,-8.10309817288256,"chromosome_4_131810","evm.TU.chromosome_13.1842",8.16206194821424,148,-16.65,"81.82%","90.91%",0.02021
"chromosome_4_131796.2",-2.16084546716962,-8.10309817288256,"chromosome_4_131796","evm.TU.chromosome_13.1842",8.16206194821424,140,-14.71,"100.00%","100.00%",0.02021
"chromosome_4_131796.3",-2.16084546716962,-8.10309817288256,"chromosome_4_131796","evm.TU.chromosome_13.1842",8.16206194821424,148,-16.65,"81.82%","90.91%",0.02021
"chromosome_4_131847.2",-2.15634934162467,-8.10309817288256,"chromosome_4_131847","evm.TU.chromosome_13.1842",8.1667983657905,140,-14.71,"100.00%","100.00%",0.02021
"chromosome_4_131847.3",-2.15634934162467,-8.10309817288256,"chromosome_4_131847","evm.TU.chromosome_13.1842",8.1667983657905,148,-16.65,"81.82%","90.91%",0.02021
"chromosome_4_131807.2",-2.15634934162467,-8.10309817288256,"chromosome_4_131807","evm.TU.chromosome_13.1842",8.1667983657905,140,-14.71,"100.00%","100.00%",0.02021
"chromosome_4_131807.3",-2.15634934162467,-8.10309817288256,"chromosome_4_131807","evm.TU.chromosome_13.1842",8.1667983657905,148,-16.65,"81.82%","90.91%",0.02021
"chromosome_6_180004",-1.81127826691518,-23.6362496634062,"chromosome_6_180004","evm.TU.chromosome_1.253",23.9586402165778,152,-18.59,"73.68%","78.95%",0.000360000000000027
