"","Day","WTMP"
"1","1-1",5.5122641509434
"2","1-10",5.52702702702703
"3","1-11",5.35347222222222
"4","1-12",5.59724137931034
"5","1-13",5.57358490566038
"6","1-14",6.04049586776859
"7","1-15",5.54525139664804
"8","1-16",5.05052631578947
"9","1-17",4.28702702702703
"10","1-18",2.5608938547486
"11","1-19",2.63846153846154
"12","1-2",5.90851063829787
"13","1-20",2.96648648648649
"14","1-21",2.72111111111111
"15","1-22",2.26041666666667
"16","1-23",3.13099415204678
"17","1-24",1.45111111111111
"18","1-25",0.773295454545455
"19","1-26",2.29358288770053
"20","1-27",1.60736842105263
"21","1-28",0.805820105820106
"22","1-29",0.395212765957447
"23","1-3",5.67570621468927
"24","1-30",0.914814814814815
"25","1-31",1.87112299465241
"26","1-4",6.22456140350877
"27","1-5",6.14522292993631
"28","1-6",5.95350318471338
"29","1-7",5.52944444444444
"30","1-8",5.62857142857143
"31","1-9",5.89402173913043
"32","10-1",18.5891213389121
"33","10-10",18.4651063829787
"34","10-11",18.0686192468619
"35","10-12",17.9710638297872
"36","10-13",17.8630901287554
"37","10-14",18.2489082969432
"38","10-15",18.3038461538462
"39","10-16",17.6855319148936
"40","10-17",16.7673640167364
"41","10-18",16.8400881057269
"42","10-19",16.8953781512605
"43","10-2",18.9163179916318
"44","10-20",16.9783333333333
"45","10-21",16.3620253164557
"46","10-22",15.960593220339
"47","10-23",15.9366812227074
"48","10-24",15.2758928571429
"49","10-25",16.1903846153846
"50","10-26",15.3413043478261
"51","10-27",13.8682008368201
"52","10-28",13.8525423728814
"53","10-29",13.9536945812808
"54","10-3",18.9569037656904
"55","10-30",13.8664179104478
"56","10-31",14.2579439252336
"57","10-4",18.9962343096234
"58","10-5",19.039406779661
"59","10-6",19.3594827586207
"60","10-7",19.8966244725738
"61","10-8",19.9162280701754
"62","10-9",19.4983050847458
"63","11-1",14.6952991452991
"64","11-10",14.4854304635762
"65","11-11",13.1944680851064
"66","11-12",12.4690987124464
"67","11-13",13.3098290598291
"68","11-14",13.8231441048035
"69","11-15",13.9785407725322
"70","11-16",14.1362068965517
"71","11-17",14.3169565217391
"72","11-18",12.5995726495727
"73","11-19",11.6983263598326
"74","11-2",14.9609442060086
"75","11-20",11.368487394958
"76","11-21",11.7110169491525
"77","11-22",13.168669527897
"78","11-23",12.0672268907563
"79","11-24",11.1820083682008
"80","11-25",9.75361702127659
"81","11-26",9.87161016949153
"82","11-27",10.5283333333333
"83","11-28",11.0887029288703
"84","11-29",11.8720338983051
"85","11-3",14.3033472803347
"86","11-30",12.7366812227074
"87","11-4",14.3136170212766
"88","11-5",14.8440170940171
"89","11-6",15.0940425531915
"90","11-7",15.0838983050847
"91","11-8",14.485593220339
"92","11-9",14.1901287553648
"93","12-1",12.4670886075949
"94","12-10",8.79568965517241
"95","12-11",9.00672268907563
"96","12-12",8.74560669456067
"97","12-13",9.0025
"98","12-14",7.49350649350649
"99","12-15",7.34
"100","12-16",8.4292576419214
"101","12-17",8.32595744680851
"102","12-18",8.01313559322034
"103","12-19",6.7625
"104","12-2",11.4795744680851
"105","12-20",5.6020920502092
"106","12-21",6.02616033755274
"107","12-22",4.98284518828452
"108","12-23",5.13813559322034
"109","12-24",6.47457627118644
"110","12-25",7.6046218487395
"111","12-26",7.94739130434783
"112","12-27",7.46497890295359
"113","12-28",7.19871794871795
"114","12-29",7.93781512605042
"115","12-3",9.85296610169492
"116","12-30",8.63702127659574
"117","12-31",8.20548523206751
"118","12-4",9.93191489361702
"119","12-5",9.83248945147679
"120","12-6",10.0150862068966
"121","12-7",8.31764705882353
"122","12-8",8.2546218487395
"123","12-9",9.00683760683761
"124","2-1",1.81351351351351
"125","2-10",2.37336956521739
"126","2-11",2.04222222222222
"127","2-12",1.71111111111111
"128","2-13",2.09542857142857
"129","2-14",2.2413407821229
"130","2-15",2.48060606060606
"131","2-16",2.91263736263736
"132","2-17",2.78104575163399
"133","2-18",2.35604395604396
"134","2-19",1.53783783783784
"135","2-2",1.83945945945946
"136","2-20",1.4021978021978
"137","2-21",1.97857142857143
"138","2-22",2.25762711864407
"139","2-23",2.22063492063492
"140","2-24",2.18429319371728
"141","2-25",1.99835164835165
"142","2-26",1.92747252747253
