#,Date-Time (EST),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Host Connected,Button Down,Button Up,End of File
36,06/24/2021 18:28:12,19.56,2695.68,,,,
37,06/24/2021 18:38:12,19.47,4311.04,,,,
38,06/24/2021 18:48:12,19.56,5509.12,,,,
39,06/24/2021 18:58:12,19.52,4903.68,,,,
40,06/24/2021 19:08:12,19.26,3857.92,,,,
41,06/24/2021 19:18:12,18.83,3264.00,,,,
42,06/24/2021 19:28:12,18.49,2791.68,,,,
43,06/24/2021 19:38:12,18.14,1597.44,,,,
44,06/24/2021 19:48:12,17.89,792.00,,,,
45,06/24/2021 19:58:12,17.72,659.52,,,,
46,06/24/2021 20:08:12,17.59,406.40,,,,
47,06/24/2021 20:18:12,17.50,196.80,,,,
48,06/24/2021 20:28:12,17.37,59.58,,,,
49,06/24/2021 20:38:12,17.29,14.49,,,,
50,06/24/2021 20:48:12,17.24,4.10,,,,
51,06/24/2021 20:58:12,17.16,2.37,,,,
52,06/24/2021 21:08:12,17.11,1.94,,,,
53,06/24/2021 21:18:12,17.11,1.94,,,,
54,06/24/2021 21:28:12,17.37,1.94,,,,
55,06/24/2021 21:38:12,17.80,1.73,,,,
56,06/24/2021 21:48:12,18.10,1.73,,,,
57,06/24/2021 21:58:12,18.23,1.94,,,,
58,06/24/2021 22:08:12,18.10,1.73,,,,
59,06/24/2021 22:18:12,17.93,1.73,,,,
60,06/24/2021 22:28:12,17.80,1.94,,,,
61,06/24/2021 22:38:12,17.93,1.73,,,,
62,06/24/2021 22:48:12,18.06,1.73,,,,
63,06/24/2021 22:58:12,18.32,1.29,,,,
64,06/24/2021 23:08:12,18.53,1.51,,,,
65,06/24/2021 23:18:12,18.62,1.51,,,,
66,06/24/2021 23:28:12,18.70,1.73,,,,
67,06/24/2021 23:38:12,18.70,1.51,,,,
68,06/24/2021 23:48:12,18.62,1.51,,,,
69,06/24/2021 23:58:12,18.57,1.51,,,,
70,06/25/2021 00:08:12,18.57,1.51,,,,
71,06/25/2021 00:18:12,18.57,1.51,,,,
72,06/25/2021 00:28:12,18.62,1.73,,,,
73,06/25/2021 00:38:12,18.62,1.73,,,,
74,06/25/2021 00:48:12,18.66,1.51,,,,
75,06/25/2021 00:58:12,18.79,1.51,,,,
76,06/25/2021 01:08:12,18.79,1.94,,,,
77,06/25/2021 01:18:12,18.79,1.51,,,,
78,06/25/2021 01:28:12,18.83,1.51,,,,
79,06/25/2021 01:38:12,18.79,1.51,,,,
80,06/25/2021 01:48:12,18.87,1.51,,,,
81,06/25/2021 01:58:12,18.92,1.51,,,,
82,06/25/2021 02:08:12,18.87,1.51,,,,
83,06/25/2021 02:18:12,18.92,1.51,,,,
84,06/25/2021 02:28:12,18.96,1.51,,,,
85,06/25/2021 02:38:12,18.92,1.51,,,,
86,06/25/2021 02:48:12,18.96,1.29,,,,
87,06/25/2021 02:58:12,18.87,1.51,,,,
88,06/25/2021 03:08:12,18.92,1.51,,,,
89,06/25/2021 03:18:12,18.92,1.51,,,,
90,06/25/2021 03:28:12,18.92,1.51,,,,
91,06/25/2021 03:38:12,18.92,1.29,,,,
92,06/25/2021 03:48:12,18.87,1.51,,,,
93,06/25/2021 03:58:12,18.92,1.51,,,,
94,06/25/2021 04:08:12,18.96,1.51,,,,
95,06/25/2021 04:18:12,18.96,1.73,,,,
96,06/25/2021 04:28:12,19.00,1.51,,,,
97,06/25/2021 04:38:12,18.96,1.73,,,,
98,06/25/2021 04:48:12,19.00,3.46,,,,
99,06/25/2021 04:58:12,18.96,12.11,,,,
100,06/25/2021 05:08:12,18.96,39.04,,,,
101,06/25/2021 05:18:12,18.96,80.88,,,,
102,06/25/2021 05:28:12,18.96,156.48,,,,
103,06/25/2021 05:38:12,19.00,200.00,,,,
104,06/25/2021 05:48:12,19.00,313.84,,,,
105,06/25/2021 05:58:12,19.00,696.00,,,,
106,06/25/2021 06:08:12,18.96,772.16,,,,
107,06/25/2021 06:18:12,19.00,1436.80,,,,
108,06/25/2021 06:28:12,19.05,2467.20,,,,
109,06/25/2021 06:38:12,19.13,2451.84,,,,
110,06/25/2021 06:48:12,19.13,3352.32,,,,
111,06/25/2021 06:58:12,19.09,1658.24,,,,
112,06/25/2021 07:08:12,19.22,4221.44,,,,
113,06/25/2021 07:18:12,19.17,3660.80,,,,
114,06/25/2021 07:28:12,19.39,6133.76,,,,
115,06/25/2021 07:38:12,19.39,4439.04,,,,
116,06/25/2021 07:48:12,19.47,6328.32,,,,
117,06/25/2021 07:58:12,19.56,6886.40,,,,
118,06/25/2021 08:08:12,19.56,7104.00,,,,
119,06/25/2021 08:18:12,19.69,8081.92,,,,
120,06/25/2021 08:28:12,19.77,9758.72,,,,
121,06/25/2021 08:38:12,19.86,11929.60,,,,
122,06/25/2021 08:48:12,19.95,12892.16,,,,
123,06/25/2021 08:58:12,20.07,15493.12,,,,
124,06/25/2021 09:08:12,20.33,13839.36,,,,
125,06/25/2021 09:18:12,19.99,9730.56,,,,
126,06/25/2021 09:28:12,19.99,13921.28,,,,
127,06/25/2021 09:38:12,20.25,18908.16,,,,
128,06/25/2021 09:48:12,20.20,18933.76,,,,
129,06/25/2021 09:58:12,20.72,24760.32,,,,
130,06/25/2021 10:08:12,20.37,19153.92,,,,
131,06/25/2021 10:18:12,20.37,17561.60,,,,
132,06/25/2021 10:28:12,20.89,24023.04,,,,
133,06/25/2021 10:38:12,21.28,28160.00,,,,
134,06/25/2021 10:48:12,21.23,23029.76,,,,
135,06/25/2021 10:58:12,21.62,32092.16,,,,
136,06/25/2021 11:08:12,21.49,26818.56,,,,
137,06/25/2021 11:18:12,21.53,25866.24,,,,
138,06/25/2021 11:28:12,21.49,24750.08,,,,
139,06/25/2021 11:38:12,21.66,29808.64,,,,
140,06/25/2021 11:48:12,21.70,25907.20,,,,
141,06/25/2021 11:58:12,22.13,34488.32,,,,
142,06/25/2021 12:08:12,22.18,32122.88,,,,
143,06/25/2021 12:18:12,22.43,36833.28,,,,
144,06/25/2021 12:28:12,22.52,37908.48,,,,
145,06/25/2021 12:38:12,23.46,45158.40,,,,
146,06/25/2021 12:48:12,23.98,75182.08,,,,
147,06/25/2021 12:58:12,23.42,49500.16,,,,
148,06/25/2021 13:08:12,23.46,45404.16,,,,
149,06/25/2021 13:16:30,,,,Logged,Logged,
150,06/25/2021 13:16:34,,,,Logged,Logged,
151,06/25/2021 13:16:37,,,,Logged,Logged,
152,06/25/2021 13:18:12,23.85,67481.60,,,,
153,06/25/2021 13:28:12,24.15,60006.40,,,,
154,06/25/2021 13:38:12,24.28,53985.28,,,,
155,06/25/2021 13:48:12,24.62,68853.76,,,,
156,06/25/2021 13:58:12,24.54,56668.16,,,,
157,06/25/2021 14:08:12,24.19,48558.08,,,,
158,06/25/2021 14:18:12,24.15,47349.76,,,,
159,06/25/2021 14:28:12,23.16,30167.04,,,,
160,06/25/2021 14:38:12,22.52,21862.40,,,,
161,06/25/2021 14:48:12,22.99,27422.72,,,,
162,06/25/2021 14:58:12,22.95,30341.12,,,,
163,06/25/2021 15:08:12,22.52,17018.88,,,,
164,06/25/2021 15:18:12,22.56,22999.04,,,,
165,06/25/2021 15:28:12,22.22,18769.92,,,,
166,06/25/2021 15:38:12,22.52,26071.04,,,,
167,06/25/2021 15:48:12,22.43,25384.96,,,,
168,06/25/2021 15:58:12,22.26,16179.20,,,,
169,06/25/2021 16:08:12,21.62,8407.04,,,,
170,06/25/2021 16:18:12,21.28,6133.76,,,,
171,06/25/2021 16:28:12,21.06,5726.72,,,,
172,06/25/2021 16:38:12,20.93,5570.56,,,,
173,06/25/2021 16:48:12,20.85,5803.52,,,,
174,06/25/2021 16:58:12,20.68,5231.36,,,,
175,06/25/2021 17:08:12,20.72,5675.52,,,,
176,06/25/2021 17:18:12,20.76,8081.92,,,,
177,06/25/2021 17:28:12,20.89,12129.28,,,,
178,06/25/2021 17:38:12,20.80,10746.88,,,,
179,06/25/2021 17:48:12,20.93,13173.76,,,,
180,06/25/2021 17:58:12,20.80,9625.60,,,,
181,06/25/2021 18:08:12,20.72,9218.56,,,,
182,06/25/2021 18:18:12,20.50,6937.60,,,,
183,06/25/2021 18:28:12,20.42,6338.56,,,,
184,06/25/2021 18:38:12,20.29,5024.00,,,,
185,06/25/2021 18:48:12,20.16,4280.32,,,,
186,06/25/2021 18:58:12,20.25,3532.80,,,,
187,06/25/2021 19:08:12,20.29,2512.00,,,,
188,06/25/2021 19:18:12,20.03,2714.88,,,,
189,06/25/2021 19:28:12,19.60,3104.00,,,,
190,06/25/2021 19:38:12,19.05,1822.72,,,,
191,06/25/2021 19:48:12,18.70,1295.04,,,,
192,06/25/2021 19:58:12,18.57,806.72,,,,
193,06/25/2021 20:08:12,18.44,509.12,,,,
194,06/25/2021 20:18:12,18.27,240.08,,,,
195,06/25/2021 20:28:12,18.14,105.08,,,,
196,06/25/2021 20:38:12,18.02,29.03,,,,
197,06/25/2021 20:48:12,17.89,7.13,,,,
198,06/25/2021 20:58:12,17.80,2.59,,,,
199,06/25/2021 21:08:12,17.72,1.94,,,,
200,06/25/2021 21:18:12,17.63,1.94,,,,
201,06/25/2021 21:28:12,17.59,1.73,,,,
202,06/25/2021 21:38:12,17.54,1.73,,,,
203,06/25/2021 21:48:12,17.59,1.73,,,,
204,06/25/2021 21:58:12,17.54,2.16,,,,
205,06/25/2021 22:08:12,17.50,1.73,,,,
206,06/25/2021 22:18:12,17.50,1.73,,,,
207,06/25/2021 22:28:12,17.46,1.51,,,,
208,06/25/2021 22:38:12,17.50,1.51,,,,
209,06/25/2021 22:48:12,17.50,1.51,,,,
210,06/25/2021 22:58:12,17.46,1.51,,,,
211,06/25/2021 23:08:12,17.46,1.51,,,,
212,06/25/2021 23:18:12,17.59,1.51,,,,
213,06/25/2021 23:28:12,17.72,1.51,,,,
214,06/25/2021 23:38:12,17.84,1.51,,,,
215,06/25/2021 23:48:12,18.10,1.51,,,,
216,06/25/2021 23:58:12,18.36,1.51,,,,
217,06/26/2021 00:08:12,18.57,1.51,,,,
218,06/26/2021 00:18:12,18.70,1.51,,,,
219,06/26/2021 00:28:12,18.83,1.51,,,,
220,06/26/2021 00:38:12,18.87,1.51,,,,
221,06/26/2021 00:48:12,18.87,1.51,,,,
222,06/26/2021 00:58:12,18.92,1.51,,,,
223,06/26/2021 01:08:12,18.96,1.94,,,,
224,06/26/2021 01:18:12,18.96,1.51,,,,
225,06/26/2021 01:28:12,19.05,1.51,,,,
226,06/26/2021 01:38:12,19.00,1.51,,,,
227,06/26/2021 01:48:12,19.05,1.51,,,,
228,06/26/2021 01:58:12,19.09,1.73,,,,
229,06/26/2021 02:08:12,19.09,1.51,,,,
230,06/26/2021 02:18:12,19.17,1.51,,,,
231,06/26/2021 02:28:12,19.17,1.51,,,,
232,06/26/2021 02:38:12,19.26,1.51,,,,
233,06/26/2021 02:48:12,19.26,1.51,,,,
234,06/26/2021 02:58:12,19.26,1.51,,,,
235,06/26/2021 03:08:12,19.30,1.51,,,,
236,06/26/2021 03:18:12,19.30,1.51,,,,
237,06/26/2021 03:28:12,19.30,1.51,,,,
238,06/26/2021 03:38:12,19.35,1.51,,,,
239,06/26/2021 03:48:12,19.35,1.51,,,,
240,06/26/2021 03:58:12,19.47,1.51,,,,
241,06/26/2021 04:08:12,19.52,1.51,,,,
242,06/26/2021 04:18:12,19.60,1.51,,,,
243,06/26/2021 04:28:12,19.60,1.51,,,,
244,06/26/2021 04:38:12,19.60,1.73,,,,
245,06/26/2021 04:48:12,19.60,3.67,,,,
246,06/26/2021 04:58:12,19.60,15.41,,,,
247,06/26/2021 05:08:12,19.60,58.28,,,,
248,06/26/2021 05:18:12,19.65,181.84,,,,
249,06/26/2021 05:28:12,19.60,368.96,,,,
250,06/26/2021 05:38:12,19.60,751.68,,,,
251,06/26/2021 05:48:12,19.60,1447.04,,,,
252,06/26/2021 05:58:12,19.65,2162.56,,,,
253,06/26/2021 06:08:12,19.60,2036.48,,,,
254,06/26/2021 06:18:12,19.65,1816.32,,,,
255,06/26/2021 06:28:12,19.65,2653.44,,,,
256,06/26/2021 06:38:12,19.69,2711.04,,,,
257,06/26/2021 06:48:12,19.77,3851.52,,,,
258,06/26/2021 06:58:12,19.77,4276.48,,,,
259,06/26/2021 07:08:12,19.77,4727.04,,,,
260,06/26/2021 07:18:12,19.77,4920.32,,,,
261,06/26/2021 07:28:12,19.82,5440.00,,,,
262,06/26/2021 07:38:12,19.95,7321.60,,,,
263,06/26/2021 07:48:12,19.86,5844.48,,,,
264,06/26/2021 07:58:12,20.03,9177.60,,,,
265,06/26/2021 08:08:12,20.03,8657.92,,,,
266,06/26/2021 08:18:12,20.25,13440.00,,,,
267,06/26/2021 08:28:12,20.07,10158.08,,,,
268,06/26/2021 08:38:12,19.90,8670.72,,,,
269,06/26/2021 08:48:12,19.82,9689.60,,,,
270,06/26/2021 08:58:12,19.99,16076.80,,,,
271,06/26/2021 09:08:12,19.82,10368.00,,,,
272,06/26/2021 09:18:12,19.73,12559.36,,,,
273,06/26/2021 09:28:12,19.86,16629.76,,,,
274,06/26/2021 09:38:12,19.99,17039.36,,,,
275,06/26/2021 09:48:12,19.90,15139.84,,,,
276,06/26/2021 09:58:12,19.90,15549.44,,,,
277,06/26/2021 10:08:12,19.99,14013.44,,,,
278,06/26/2021 10:18:12,19.90,18995.20,,,,
279,06/26/2021 10:28:12,19.65,14254.08,,,,
280,06/26/2021 10:38:12,19.69,14914.56,,,,
281,06/26/2021 10:48:12,19.60,13045.76,,,,
282,06/26/2021 10:58:12,19.77,12615.68,,,,
283,06/26/2021 11:08:12,19.90,18263.04,,,,
284,06/26/2021 11:18:12,19.69,9792.00,,,,
285,06/26/2021 11:28:12,19.90,15288.32,,,,
286,06/26/2021 11:38:12,19.99,12416.00,,,,
287,06/26/2021 11:48:12,20.63,24596.48,,,,
288,06/26/2021 11:58:12,20.68,25077.76,,,,
289,06/26/2021 12:08:12,21.36,29593.60,,,,
290,06/26/2021 12:18:12,21.83,29870.08,,,,
291,06/26/2021 12:28:12,22.01,17935.36,,,,
292,06/26/2021 12:38:12,22.56,35706.88,,,,
293,06/26/2021 12:48:12,23.34,39792.64,,,,
294,06/26/2021 12:58:12,22.82,30689.28,,,,
295,06/26/2021 13:08:12,22.91,24412.16,,,,
296,06/26/2021 13:18:12,22.99,47697.92,,,,
297,06/26/2021 13:28:12,21.58,6103.04,,,,
298,06/26/2021 13:38:12,21.66,26736.64,,,,
299,06/26/2021 13:48:12,21.10,11852.80,,,,
300,06/26/2021 13:58:12,21.19,18851.84,,,,
301,06/26/2021 14:08:12,21.49,23644.16,,,,
302,06/26/2021 14:18:12,21.70,19537.92,,,,
303,06/26/2021 14:28:12,21.92,28784.64,,,,
304,06/26/2021 14:38:12,22.31,22978.56,,,,
305,06/26/2021 14:48:12,21.58,14755.84,,,,
306,06/26/2021 14:58:12,21.40,12672.00,,,,
307,06/26/2021 15:08:12,21.28,9605.12,,,,
308,06/26/2021 15:18:12,21.45,17561.60,,,,
309,06/26/2021 15:28:12,22.09,24023.04,,,,
310,06/26/2021 15:38:12,21.88,17213.44,,,,
311,06/26/2021 15:48:12,21.62,12620.80,,,,
312,06/26/2021 15:58:12,21.53,16650.24,,,,
313,06/26/2021 16:08:12,21.88,21575.68,,,,
314,06/26/2021 16:18:12,21.70,14443.52,,,,
315,06/26/2021 16:28:12,21.49,13122.56,,,,
316,06/26/2021 16:38:12,21.92,19880.96,,,,
317,06/26/2021 16:48:12,21.70,13015.04,,,,
318,06/26/2021 16:58:12,21.66,11473.92,,,,
319,06/26/2021 17:08:12,21.66,12661.76,,,,
320,06/26/2021 17:18:12,21.75,13839.36,,,,
321,06/26/2021 17:28:12,21.62,12108.80,,,,
322,06/26/2021 17:38:12,21.53,12277.76,,,,
323,06/26/2021 17:48:12,21.58,10536.96,,,,
324,06/26/2021 17:58:12,21.32,8199.68,,,,
325,06/26/2021 18:08:12,21.06,6497.28,,,,
326,06/26/2021 18:18:12,20.93,8097.28,,,,
327,06/26/2021 18:28:12,20.89,5854.72,,,,
328,06/26/2021 18:38:12,20.80,4495.36,,,,
329,06/26/2021 18:48:12,20.80,4422.40,,,,
330,06/26/2021 18:58:12,20.85,6092.80,,,,
331,06/26/2021 19:08:12,20.80,4958.72,,,,
332,06/26/2021 19:18:12,20.59,3577.60,,,,
333,06/26/2021 19:28:12,20.29,2477.44,,,,
334,06/26/2021 19:38:12,19.95,1759.36,,,,
335,06/26/2021 19:48:12,19.86,1179.84,,,,
336,06/26/2021 19:58:12,19.73,717.44,,,,
337,06/26/2021 20:08:12,19.52,405.28,,,,
338,06/26/2021 20:18:12,19.35,192.24,,,,
339,06/26/2021 20:28:12,19.26,70.44,,,,
340,06/26/2021 20:38:12,19.17,20.81,,,,
341,06/26/2021 20:48:12,19.09,4.97,,,,
342,06/26/2021 20:58:12,19.05,1.73,,,,
343,06/26/2021 21:08:12,18.96,1.29,,,,
344,06/26/2021 21:18:12,18.87,1.29,,,,
345,06/26/2021 21:28:12,18.79,1.29,,,,
346,06/26/2021 21:38:12,18.83,1.29,,,,
347,06/26/2021 21:48:12,18.79,1.29,,,,
348,06/26/2021 21:58:12,18.74,1.29,,,,
349,06/26/2021 22:08:12,18.66,1.29,,,,
350,06/26/2021 22:18:12,18.57,1.51,,,,
351,06/26/2021 22:28:12,18.49,1.29,,,,
352,06/26/2021 22:38:12,18.44,1.08,,,,
353,06/26/2021 22:48:12,18.44,0.86,,,,
354,06/26/2021 22:58:12,18.36,1.08,,,,
355,06/26/2021 23:08:12,18.36,1.29,,,,
356,06/26/2021 23:18:12,18.32,1.08,,,,
357,06/26/2021 23:28:12,18.32,1.29,,,,
358,06/26/2021 23:38:12,18.32,1.29,,,,
359,06/26/2021 23:48:12,18.27,1.08,,,,
360,06/26/2021 23:58:12,18.23,1.08,,,,
361,06/27/2021 00:08:12,18.19,1.08,,,,
362,06/27/2021 00:18:12,18.19,1.08,,,,
363,06/27/2021 00:28:12,18.19,1.29,,,,
364,06/27/2021 00:38:12,18.27,1.08,,,,
365,06/27/2021 00:48:12,18.49,1.08,,,,
366,06/27/2021 00:58:12,18.70,1.29,,,,
367,06/27/2021 01:08:12,18.96,1.29,,,,
368,06/27/2021 01:18:12,19.13,1.08,,,,
369,06/27/2021 01:28:12,19.13,1.51,,,,
370,06/27/2021 01:38:12,19.17,1.08,,,,
371,06/27/2021 01:48:12,19.22,1.29,,,,
372,06/27/2021 01:58:12,19.17,1.08,,,,
373,06/27/2021 02:08:12,19.17,1.08,,,,
374,06/27/2021 02:18:12,19.17,1.08,,,,
375,06/27/2021 02:28:12,19.22,1.08,,,,
376,06/27/2021 02:38:12,19.22,1.29,,,,
377,06/27/2021 02:48:12,19.30,1.08,,,,
378,06/27/2021 02:58:12,19.26,1.08,,,,
379,06/27/2021 03:08:12,19.35,1.08,,,,
380,06/27/2021 03:18:12,19.30,1.08,,,,
381,06/27/2021 03:28:12,19.35,1.08,,,,
382,06/27/2021 03:38:12,19.35,1.08,,,,
383,06/27/2021 03:48:12,19.35,1.08,,,,
384,06/27/2021 03:58:12,19.35,1.08,,,,
385,06/27/2021 04:08:12,19.35,1.08,,,,
386,06/27/2021 04:18:12,19.43,1.08,,,,
387,06/27/2021 04:28:12,19.43,1.08,,,,
388,06/27/2021 04:38:12,19.47,1.94,,,,
389,06/27/2021 04:48:12,19.47,3.24,,,,
390,06/27/2021 04:58:12,19.52,12.76,,,,
391,06/27/2021 05:08:12,19.56,48.22,,,,
392,06/27/2021 05:18:12,19.60,106.92,,,,
393,06/27/2021 05:28:12,19.60,180.88,,,,
394,06/27/2021 05:38:12,19.65,295.60,,,,
395,06/27/2021 05:48:12,19.60,576.16,,,,
396,06/27/2021 05:58:12,19.65,1095.04,,,,
397,06/27/2021 06:08:12,19.69,1205.76,,,,
398,06/27/2021 06:18:12,19.73,1808.00,,,,
399,06/27/2021 06:28:12,19.73,2420.48,,,,
400,06/27/2021 06:38:12,19.77,3207.68,,,,
401,06/27/2021 06:48:12,19.82,4097.28,,,,
402,06/27/2021 06:58:12,19.90,4359.68,,,,
403,06/27/2021 07:08:12,19.90,5396.48,,,,
404,06/27/2021 07:18:12,19.99,6159.36,,,,
405,06/27/2021 07:28:12,19.99,5335.04,,,,
406,06/27/2021 07:38:12,19.99,6110.72,,,,
407,06/27/2021 07:48:12,20.03,6297.60,,,,
408,06/27/2021 07:58:12,20.07,8028.16,,,,
409,06/27/2021 08:08:12,20.12,7244.80,,,,
410,06/27/2021 08:18:12,20.16,9024.00,,,,
411,06/27/2021 08:28:12,20.33,11202.56,,,,
412,06/27/2021 08:38:12,20.55,13583.36,,,,
413,06/27/2021 08:48:12,20.50,10145.28,,,,
414,06/27/2021 08:58:12,20.76,18831.36,,,,
415,06/27/2021 09:08:12,20.89,18856.96,,,,
416,06/27/2021 09:18:12,20.89,14018.56,,,,
417,06/27/2021 09:28:12,21.32,30085.12,,,,
418,06/27/2021 09:38:12,20.89,13998.08,,,,
419,06/27/2021 09:48:12,21.19,38389.76,,,,
420,06/27/2021 09:58:12,21.58,29440.00,,,,
421,06/27/2021 10:08:12,22.05,45772.80,,,,
422,06/27/2021 10:18:12,22.05,37969.92,,,,
423,06/27/2021 10:28:12,22.09,27893.76,,,,
424,06/27/2021 10:38:12,21.62,26521.60,,,,
425,06/27/2021 10:48:12,21.32,27484.16,,,,
426,06/27/2021 10:58:12,21.58,32204.80,,,,
427,06/27/2021 11:08:12,21.23,23592.96,,,,
428,06/27/2021 11:18:12,21.40,31283.20,,,,
429,06/27/2021 11:28:12,21.58,27443.20,,,,
430,06/27/2021 11:38:12,22.22,58490.88,,,,
431,06/27/2021 11:48:12,21.70,31201.28,,,,
432,06/27/2021 11:58:12,21.49,30085.12,,,,
433,06/27/2021 12:08:12,21.88,52183.04,,,,
434,06/27/2021 12:18:12,21.58,29399.04,,,,
435,06/27/2021 12:28:12,21.23,35020.80,,,,
436,06/27/2021 12:38:12,21.83,33761.28,,,,
437,06/27/2021 12:48:12,22.01,25948.16,,,,
438,06/27/2021 12:58:12,22.95,58900.48,,,,
439,06/27/2021 13:08:12,22.35,44707.84,,,,
440,06/27/2021 13:18:12,21.66,19092.48,,,,
441,06/27/2021 13:28:12,21.96,23572.48,,,,
442,06/27/2021 13:38:12,22.35,42147.84,,,,
443,06/27/2021 13:48:12,22.56,36720.64,,,,
444,06/27/2021 13:58:12,23.29,46407.68,,,,
445,06/27/2021 14:08:12,22.91,32604.16,,,,
446,06/27/2021 14:18:12,23.55,46161.92,,,,
447,06/27/2021 14:28:12,23.76,46141.44,,,,
448,06/27/2021 14:38:12,23.94,40335.36,,,,
449,06/27/2021 14:48:12,23.89,50176.00,,,,
450,06/27/2021 14:58:12,23.72,23572.48,,,,
451,06/27/2021 15:08:12,22.31,12139.52,,,,
452,06/27/2021 15:18:12,21.66,9198.08,,,,
453,06/27/2021 15:28:12,21.66,9978.88,,,,
454,06/27/2021 15:38:12,21.53,8616.96,,,,
455,06/27/2021 15:48:12,21.49,8504.32,,,,
456,06/27/2021 15:58:12,21.49,8954.88,,,,
457,06/27/2021 16:08:12,21.66,9231.36,,,,
458,06/27/2021 16:18:12,21.75,7825.92,,,,
459,06/27/2021 16:28:12,21.79,6822.40,,,,
460,06/27/2021 16:38:12,21.70,6241.28,,,,
461,06/27/2021 16:48:12,21.66,5521.92,,,,
462,06/27/2021 16:58:12,21.58,5493.76,,,,
463,06/27/2021 17:08:12,21.53,5416.96,,,,
464,06/27/2021 17:18:12,21.45,5127.68,,,,
465,06/27/2021 17:28:12,21.40,4865.28,,,,
466,06/27/2021 17:38:12,21.40,4497.92,,,,
467,06/27/2021 17:48:12,21.32,4284.16,,,,
468,06/27/2021 17:58:12,21.28,3927.04,,,,
469,06/27/2021 18:08:12,21.19,3664.64,,,,
470,06/27/2021 18:18:12,21.15,3429.12,,,,
471,06/27/2021 18:28:12,21.10,3192.32,,,,
472,06/27/2021 18:38:12,21.02,2947.84,,,,
473,06/27/2021 18:48:12,20.93,2661.12,,,,
474,06/27/2021 18:58:12,20.80,2280.32,,,,
475,06/27/2021 19:08:12,20.72,1998.08,,,,
476,06/27/2021 19:18:12,20.63,1669.76,,,,
477,06/27/2021 19:28:12,20.50,1436.16,,,,
478,06/27/2021 19:38:12,20.37,1264.00,,,,
479,06/27/2021 19:48:12,20.29,996.48,,,,
480,06/27/2021 19:58:12,20.20,684.48,,,,
481,06/27/2021 20:08:12,20.16,423.84,,,,
482,06/27/2021 20:18:12,20.07,184.48,,,,
483,06/27/2021 20:28:12,19.90,81.86,,,,
484,06/27/2021 20:38:12,19.60,23.95,,,,
485,06/27/2021 20:48:12,19.43,4.97,,,,
486,06/27/2021 20:58:12,19.39,1.51,,,,
487,06/27/2021 21:08:12,19.35,0.86,,,,
488,06/27/2021 21:18:12,19.30,0.86,,,,
489,06/27/2021 21:28:12,19.22,0.86,,,,
490,06/27/2021 21:38:12,19.17,0.86,,,,
491,06/27/2021 21:48:12,19.13,0.86,,,,
492,06/27/2021 21:58:12,19.13,0.86,,,,
493,06/27/2021 22:08:12,19.09,0.64,,,,
494,06/27/2021 22:18:12,19.05,0.86,,,,
495,06/27/2021 22:28:12,18.96,0.86,,,,
496,06/27/2021 22:38:12,18.87,1.08,,,,
497,06/27/2021 22:48:12,18.79,0.86,,,,
498,06/27/2021 22:58:12,18.79,0.86,,,,
499,06/27/2021 23:08:12,18.66,0.86,,,,
500,06/27/2021 23:18:12,18.62,0.64,,,,
501,06/27/2021 23:28:12,18.57,0.86,,,,
502,06/27/2021 23:38:12,18.44,0.86,,,,
503,06/27/2021 23:48:12,18.36,0.64,,,,
