"","mRNA","GO","Term","Annotated","Significant","Expected","Fisher","ontology","sig.prop"
"1","evm.TU.chromosome_1.731","GO:0043171","peptide catabolic process",32,14,7.13,0.00245,"Biological Processes",0.4375
"2","evm.TU.chromosome_1.1856","GO:0003341","cilium movement",137,36,30.53,0.00121,"Biological Processes",0.262773722627737
"3","evm.TU.chromosome_1.1856","GO:0007368","determination of left/right symmetry",126,48,28.08,0.00022,"Biological Processes",0.380952380952381
"4","evm.TU.chromosome_1.1856","GO:0007507","heart development",594,172,132.36,0.00014,"Biological Processes",0.28956228956229
"5","evm.TU.chromosome_1.259","GO:0010172","embryonic body morphogenesis",104,63,23.17,2.8e-17,"Biological Processes",0.605769230769231
"6","evm.TU.chromosome_1.259","GO:0008543","fibroblast growth factor receptor signaling pathway",209,87,46.57,4.1e-11,"Biological Processes",0.416267942583732
"7","evm.TU.chromosome_1.259","GO:0000082","G1/S transition of mitotic cell cycle",201,82,44.79,6.2e-12,"Biological Processes",0.407960199004975
"8","evm.TU.chromosome_1.259","GO:0035278","miRNA-mediated gene silencing by inhibition of tran...",119,66,26.52,3.5e-15,"Biological Processes",0.554621848739496
"9","evm.TU.chromosome_1.259","GO:0010586","miRNA metabolic process",152,74,33.87,1.1e-15,"Biological Processes",0.486842105263158
"10","evm.TU.chromosome_1.259","GO:0021915","neural tube development",364,131,81.11,3.7e-13,"Biological Processes",0.35989010989011
"11","evm.TU.chromosome_1.259","GO:0051865","protein autoubiquitination",207,92,46.13,1.9e-12,"Biological Processes",0.444444444444444
"12","evm.TU.chromosome_1.259","GO:0060964","regulation of miRNA-mediated gene silencing",141,75,31.42,3.2e-16,"Biological Processes",0.531914893617021
"13","evm.TU.chromosome_1.259","GO:2000177","regulation of neural precursor cell proliferation",168,83,37.44,1.8e-15,"Biological Processes",0.494047619047619
"14","evm.TU.chromosome_1.259","GO:0072089","stem cell proliferation",148,71,32.98,8.9e-15,"Biological Processes",0.47972972972973
"15","evm.TU.chromosome_1.327","GO:0007049","cell cycle",1393,440,310.41,0.00054,"Biological Processes",0.31586503948313
"16","evm.TU.chromosome_1.327","GO:0051301","cell division",624,192,139.05,9.8e-05,"Biological Processes",0.307692307692308
"17","evm.TU.chromosome_1.327","GO:0007507","heart development",594,172,132.36,0.00014,"Biological Processes",0.28956228956229
"18","evm.TU.chromosome_1.1125","GO:0007049","cell cycle",1393,440,310.41,0.00054,"Biological Processes",0.31586503948313
"19","evm.TU.chromosome_1.207","GO:0006541","glutamine metabolic process",28,14,6.24,0.00261,"Biological Processes",0.5
"20","evm.TU.chromosome_1.207","GO:0006541","glutamine metabolic process",28,14,6.24,0.00261,"Biological Processes",0.5
"21","evm.TU.chromosome_1.1701","GO:0030162","regulation of proteolysis",272,81,60.61,0.00258,"Biological Processes",0.297794117647059
"22","evm.TU.chromosome_1.1703","GO:0007049","cell cycle",1393,440,310.41,0.00054,"Biological Processes",0.31586503948313
"23","evm.TU.chromosome_1.1703","GO:0051301","cell division",624,192,139.05,9.8e-05,"Biological Processes",0.307692307692308
"24","evm.TU.chromosome_1.513","GO:0075732","viral penetration into host nucleus",45,19,10.03,0.00218,"Biological Processes",0.422222222222222
"25","evm.TU.chromosome_1.1254","GO:0071300","cellular response to retinoic acid",82,32,18.27,0.00046,"Biological Processes",0.390243902439024
"26","evm.TU.chromosome_1.1254","GO:0007156","homophilic cell adhesion via plasma membrane adhesi...",200,87,44.57,1.2e-10,"Biological Processes",0.435
