PreSens Measurement Studio 2,1.1.2.0,,,,,,,,,,,,,,,,
Date,Time,Id,Delta T [min],Device,Channel,Sensor,Calibration,User,Value,Oxygen Unit,Temp,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
12/19/20,12:28:19,9258430,0,SABD0000000001 (OXY-10 ST),6,OXY-CH6 (PSt7-10),19/12/20 11:19:05,default,261.833,µmol/L,10.087,°C,1029,hPa,Humid,35,0
12/19/20,12:28:21,9258440,0.024,SABD0000000001 (OXY-10 ST),6,OXY-CH6 (PSt7-10),19/12/20 11:19:05,default,261.651,µmol/L,10.09,°C,1029,hPa,Humid,35,0
12/19/20,12:28:22,9258445,0.04,SABD0000000001 (OXY-10 ST),6,OXY-CH6 (PSt7-10),19/12/20 11:19:05,default,261.426,µmol/L,10.098,°C,1029,hPa,Humid,35,0
12/19/20,12:28:23,9258451,0.057,SABD0000000001 (OXY-10 ST),6,OXY-CH6 (PSt7-10),19/12/20 11:19:05,default,261.573,µmol/L,10.089,°C,1029,hPa,Humid,35,0
12/19/20,12:28:24,9258456,0.073,SABD0000000001 (OXY-10 ST),6,OXY-CH6 (PSt7-10),19/12/20 11:19:05,default,261.43,µmol/L,10.087,°C,1029,hPa,Humid,35,0
12/19/20,12:28:25,9258464,0.09,SABD0000000001 (OXY-10 ST),6,OXY-CH6 (PSt7-10),19/12/20 11:19:05,default,261.535,µmol/L,10.083,°C,1029,hPa,Humid,35,0
12/19/20,12:28:26,9258473,0.107,SABD0000000001 (OXY-10 ST),6,OXY-CH6 (PSt7-10),19/12/20 11:19:05,default,261.605,µmol/L,10.093,°C,1029,hPa,Humid,35,0
12/19/20,12:28:27,9258483,0.124,SABD0000000001 (OXY-10 ST),6,OXY-CH6 (PSt7-10),19/12/20 11:19:05,default,261.5,µmol/L,10.092,°C,1029,hPa,Humid,35,0
12/19/20,12:28:28,9258487,0.14,SABD0000000001 (OXY-10 ST),6,OXY-CH6 (PSt7-10),19/12/20 11:19:05,default,261.549,µmol/L,10.084,°C,1029,hPa,Humid,35,0
12/19/20,12:28:29,9258496,0.157,SABD0000000001 (OXY-10 ST),6,OXY-CH6 (PSt7-10),19/12/20 11:19:05,default,261.639,µmol/L,10.081,°C,1029,hPa,Humid,35,0
12/19/20,12:28:30,9258505,0.174,SABD0000000001 (OXY-10 ST),6,OXY-CH6 (PSt7-10),19/12/20 11:19:05,default,261.416,µmol/L,10.089,°C,1029,hPa,Humid,35,0
12/19/20,12:28:31,9258514,0.191,SABD0000000001 (OXY-10 ST),6,OXY-CH6 (PSt7-10),19/12/20 11:19:05,default,261.56,µmol/L,10.083,°C,1029,hPa,Humid,35,0
12/19/20,12:28:32,9258518,0.207,SABD0000000001 (OXY-10 ST),6,OXY-CH6 (PSt7-10),19/12/20 11:19:05,default,261.342,µmol/L,10.093,°C,1029,hPa,Humid,35,0
