Date,colony_id,Chamber.Channel,Chamber ,Run,Temp.Cat,Chamber.Vol.L,Surface.Area.cm2,Notes
20210204,AST-2533,3,3,1,8,0.601,25,
20210204,AST-2003,7,7,1,8,0.566,25,
20210204,AST-2873,8,8,1,8,0.596,25,
20210204,AST-1585,1,1,1,8,0.596,25,
20210204,AST-1722,6,6,1,8,0.578,25,
20210204,BK-1,5,5,1,8,0.616,NA,
20210204,BK-2,2,2,1,8,0.612,NA,
20210204,AST-2197,1,1,2,8,0.59,25,
20210204,AST-1618,2,2,2,8,0.592,25,
20210204,BK-4,3,3,2,8,0.505,NA,
20210204,AST-2859,5,5,2,8,0.626,25,
20210204,AST-1233,6,6,2,8,0.586,25,
20210204,AST-1423,7,7,2,8,0.594,25,
20210204,BK-3,8,8,2,8,0.62,NA,
20210204,BK-5,1,1,3,8,0.61,NA,
20210204,BK-6,2,2,3,8,0.616,NA,
20210204,AST-1593,3,3,3,8,0.616,25,
20210204,AST-1567,5,5,3,8,0.61,25,
20210204,AST-1147,6,6,3,8,0.6,25,
20210204,AST-2398,7,7,3,8,0.608,25,
20210204,AST-1345,8,8,3,8,0.598,25,
20210204,BK-7,1,1,4,8,0.606,NA,
20210204,AST-2198,2,2,4,8,0.594,25,
