"","gene_id","GO.ID","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","AST.1065","AST.1147","AST.1412","AST.1560","AST.1567","AST.1617","AST.1722","AST.2000","AST.2007","AST.2302","AST.2360","AST.2398","AST.2404","AST.2412","AST.2512","AST.2523","AST.2563","AST.2729","AST.2755"
"1","evm.TU.chromosome_1.1286","GO:0005576",5.28067153734394e-22,1,184,1074,"extracellular region","CC",377,3220,76,13,353,250,530,27,160,634,413,1652,112,362,117,344,450,20,5
"2","evm.TU.chromosome_1.1046","GO:0000981",0.0179004687202011,0.992724273911804,12,74,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF",1036,3078,630,39,692,1356,1792,240,1303,1549,909,1963,861,859,184,972,811,123,98
"3","evm.TU.chromosome_1.1046","GO:2000323",0.00740562316059067,0.99955594834886,3,6,"negative regulation of glucocorticoid receptor signaling pathway","BP",1036,3078,630,39,692,1356,1792,240,1303,1549,909,1963,861,859,184,972,811,123,98
"4","evm.TU.chromosome_1.1046","GO:0070374",0.0106980812279001,0.995598684486163,14,88,"positive regulation of ERK1 and ERK2 cascade","BP",1036,3078,630,39,692,1356,1792,240,1303,1549,909,1963,861,859,184,972,811,123,98
"5","evm.TU.chromosome_1.1239","GO:0016702",0.0054814469052228,0.998795738490633,7,29,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","MF",406,157,44,0,24,142,108,5,175,275,79,60,261,153,22,263,95,17,48
"6","evm.TU.chromosome_1.1511","GO:0001077",0.0338072705107874,0.984843325964078,12,80,NA,NA,630,73,125,5,13,78,73,49,320,443,71,35,154,161,42,70,250,49,44
"7","evm.TU.chromosome_1.123","GO:0004197",0.00589883571925086,0.998201418621006,10,51,"cysteine-type endopeptidase activity","MF",13,13,131,3,11,45,7,41,24,40,108,17,56,7,38,30,6,4,2
"8","evm.TU.chromosome_1.123","GO:0032403",0.0136326673143941,0.993193760771107,20,146,NA,NA,13,13,131,3,11,45,7,41,24,40,108,17,56,7,38,30,6,4,2
"9","evm.TU.chromosome_1.123","GO:0006508",0.0361365158464351,0.979888785567559,20,168,"proteolysis","BP",13,13,131,3,11,45,7,41,24,40,108,17,56,7,38,30,6,4,2
"10","evm.TU.chromosome_1.123","GO:0051603",0.00950639894880347,0.997114110277741,9,44,"proteolysis involved in protein catabolic process","BP",13,13,131,3,11,45,7,41,24,40,108,17,56,7,38,30,6,4,2
"11","evm.TU.chromosome_1.1424","GO:0030246",0.0211994164371091,0.987594728065279,28,231,"carbohydrate binding","MF",1356,563,2176,151,298,998,834,1288,1138,941,594,525,671,924,357,909,1091,236,26
"12","evm.TU.chromosome_1.419","GO:0005578",3.32736357308379e-07,1,55,332,NA,NA,30,120,68,9,26,21,412,92,15,32,51,163,32,66,17,17,25,3,2
