"","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","cluster"
"1","GO:0021915","neural tube development",364,25,11.05,1.3e-05,"Biological Processes","2"
"2","GO:0035278","miRNA-mediated gene silencing by inhibition of tran...",119,14,3.61,1.5e-05,"Biological Processes","2"
"3","GO:0051865","protein autoubiquitination",207,18,6.28,6.3e-05,"Biological Processes","2"
"4","GO:0010172","embryonic body morphogenesis",104,12,3.16,7.4e-05,"Biological Processes","2"
"5","GO:0046600","negative regulation of centriole replication",4,3,0.12,0.00011,"Biological Processes","2"
"6","GO:0000082","G1/S transition of mitotic cell cycle",201,16,6.1,0.00012,"Biological Processes","2"
"7","GO:2000177","regulation of neural precursor cell proliferation",168,14,5.1,0.00027,"Biological Processes","2"
"8","GO:0060964","regulation of miRNA-mediated gene silencing",141,13,4.28,0.00027,"Biological Processes","2"
"9","GO:0010586","miRNA metabolic process",152,13,4.61,0.00075,"Biological Processes","2"
"10","GO:0007346","regulation of mitotic cell cycle",409,21,12.42,0.00084,"Biological Processes","2"
"11","GO:1903608","protein localization to cytoplasmic stress granule",2,2,0.06,0.00092,"Biological Processes","2"
"12","GO:0032902","nerve growth factor production",2,2,0.06,0.00092,"Biological Processes","2"
"13","GO:0046579","positive regulation of Ras protein signal transduct...",17,4,0.52,0.00146,"Biological Processes","2"
"14","GO:0072089","stem cell proliferation",148,12,4.49,0.00188,"Biological Processes","2"
"15","GO:0071376","cellular response to corticotropin-releasing hormon...",3,2,0.09,0.0027,"Biological Processes","2"
"16","GO:0048715","negative regulation of oligodendrocyte differentiat...",3,2,0.09,0.0027,"Biological Processes","2"
"17","GO:0032455","nerve growth factor processing",3,2,0.09,0.0027,"Biological Processes","2"
"18","GO:0007156","homophilic cell adhesion via plasma membrane adhesi...",200,14,6.07,0.00324,"Biological Processes","2"
"19","GO:0003341","cilium movement",137,6,4.16,0.00337,"Biological Processes","2"
"20","GO:0008543","fibroblast growth factor receptor signaling pathway",209,14,6.34,0.00394,"Biological Processes","2"
"21","GO:0007100","mitotic centrosome separation",11,3,0.33,0.00528,"Biological Processes","2"
"22","GO:0090650","cellular response to oxygen-glucose deprivation",4,2,0.12,0.0053,"Biological Processes","2"
"23","GO:0071504","cellular response to heparin",4,2,0.12,0.0053,"Biological Processes","2"
"24","GO:0035874","cellular response to copper ion starvation",4,2,0.12,0.0053,"Biological Processes","2"
"25","GO:0097185","cellular response to azide",4,2,0.12,0.0053,"Biological Processes","2"
"26","GO:0060760","positive regulation of response to cytokine stimulu...",39,3,1.18,0.0053,"Biological Processes","2"
"27","GO:0007165","signal transduction",5469,177,166.03,0.00566,"Biological Processes","2"
"28","GO:0030509","BMP signaling pathway",138,10,4.19,0.00617,"Biological Processes","2"
"29","GO:0009100","glycoprotein metabolic process",475,12,14.42,0.0081,"Biological Processes","2"
"30","GO:0051056","regulation of small GTPase mediated signal transduc...",202,16,6.13,0.00812,"Biological Processes","2"
"31","GO:0060395","SMAD protein signal transduction",42,5,1.28,0.00852,"Biological Processes","2"
"32","GO:0048266","behavioral response to pain",5,2,0.15,0.00865,"Biological Processes","2"
