"Plot Title: 20444040"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20444040, SEN S/N: 20444040)","Coupler Detached (LGR S/N: 20444040)","Coupler Attached (LGR S/N: 20444040)","Host Connected (LGR S/N: 20444040)","End Of File (LGR S/N: 20444040)"
1,07/29/21 01:00:00 PM,22.753,Logged,,,
2,07/29/21 01:10:00 PM,22.705,,,,
3,07/29/21 01:20:00 PM,22.681,,,,
4,07/29/21 01:30:00 PM,22.657,,,,
5,07/29/21 01:40:00 PM,22.609,,,,
6,07/29/21 01:50:00 PM,22.561,,,,
7,07/29/21 02:00:00 PM,22.489,,,,
8,07/29/21 02:10:00 PM,22.441,,,,
9,07/29/21 02:20:00 PM,22.393,,,,
10,07/29/21 02:30:00 PM,22.321,,,,
11,07/29/21 02:40:00 PM,22.274,,,,
12,07/29/21 02:50:00 PM,22.226,,,,
13,07/29/21 03:00:00 PM,22.202,,,,
14,07/29/21 03:10:00 PM,22.202,,,,
15,07/29/21 03:20:00 PM,22.178,,,,
16,07/29/21 03:30:00 PM,22.226,,,,
17,07/29/21 03:40:00 PM,22.274,,,,
18,07/29/21 03:50:00 PM,22.321,,,,
19,07/29/21 04:00:00 PM,22.393,,,,
20,07/29/21 04:10:00 PM,22.465,,,,
21,07/29/21 04:20:00 PM,22.537,,,,
22,07/29/21 04:30:00 PM,22.585,,,,
23,07/29/21 04:40:00 PM,22.633,,,,
24,07/29/21 04:50:00 PM,22.681,,,,
25,07/29/21 05:00:00 PM,22.705,,,,
26,07/29/21 05:10:00 PM,22.681,,,,
27,07/29/21 05:20:00 PM,22.681,,,,
28,07/29/21 05:30:00 PM,22.681,,,,
29,07/29/21 05:40:00 PM,22.681,,,,
30,07/29/21 05:50:00 PM,22.705,,,,
31,07/29/21 06:00:00 PM,22.729,,,,
32,07/29/21 06:10:00 PM,22.776,,,,
33,07/29/21 06:20:00 PM,22.800,,,,
34,07/29/21 06:30:00 PM,22.824,,,,
35,07/29/21 06:40:00 PM,22.824,,,,
36,07/29/21 06:50:00 PM,22.824,,,,
37,07/29/21 07:00:00 PM,22.824,,,,
38,07/29/21 07:10:00 PM,22.824,,,,
39,07/29/21 07:20:00 PM,22.800,,,,
40,07/29/21 07:30:00 PM,22.776,,,,
41,07/29/21 07:40:00 PM,22.753,,,,
